,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
85,Oregon State,Pac-12 (North),,3,9,-3.57,-0.76,-4.33,24.61,24.26,6.39,7.25,2.86,5.15,5.29,5.66,2011
88,Ball State,MAC (West),,6,6,-1.20,-3.18,-4.38,24.85,32.88,5.21,10.05,3.52,5.20,4.77,6.96,2011
89,Florida International,Sun Belt,,8,5,-5.28,0.75,-4.53,21.05,24.98,6.05,7.64,3.33,4.47,4.80,5.72,2011
90,Marshall,CUSA (East),,7,6,-5.24,0.65,-4.59,22.37,27.85,6.17,7.70,3.01,4.87,4.77,5.91,2011
91,Boston College,ACC (Atlantic),,4,8,-7.29,2.69,-4.61,20.23,22.33,5.58,7.23,3.16,5.05,4.43,5.87,2011
92,Bowling Green State,MAC (East),,5,7,-3.07,-1.68,-4.75,24.63,29.14,6.33,7.66,2.97,5.67,5.02,6.16,2011
93,Kansas,Big 12,,2,10,-1.93,-2.82,-4.75,25.25,34.80,6.20,8.86,3.34,5.70,4.54,6.94,2011
94,Miami (OH),MAC (East),,4,8,-6.27,1.37,-4.90,21.04,23.19,6.96,7.96,1.66,4.54,4.90,5.75,2011
95,East Carolina,CUSA (East),,5,7,0.04,-5.09,-5.04,25.88,32.39,5.94,7.28,2.58,5.15,4.75,5.79,2011
96,Washington State,Pac-12 (North),,4,8,-0.30,-5.31,-5.61,30.76,29.36,7.24,9.03,2.50,4.85,5.46,6.42,2011
97,San Jose State,WAC,,5,7,-2.80,-3.17,-5.97,23.12,29.87,6.22,8.34,2.67,5.27,4.98,6.25,2011
98,Kent State,MAC (East),,5,7,-9.50,3.48,-6.03,16.55,25.74,4.12,7.17,2.48,4.24,3.52,5.33,2011
99,Minnesota,Big Ten (Legends),,3,9,-5.07,-0.97,-6.04,21.75,28.60,5.95,7.45,3.88,5.46,4.89,6.08,2011
100,Western Kentucky,Sun Belt,,7,5,-4.54,-1.65,-6.18,19.94,28.72,5.75,8.64,3.46,5.26,4.51,6.72,2011
101,Eastern Michigan,MAC (West),,6,6,-7.65,1.10,-6.55,17.30,26.40,6.25,8.16,3.76,4.84,4.64,6.08,2011
102,Ole Miss,SEC (West),,2,10,-5.81,-0.90,-6.71,21.31,28.56,6.02,7.98,3.23,5.82,4.57,6.43,2011
103,Hawaii,WAC,,6,7,0.25,-7.15,-6.90,26.51,32.05,5.71,8.56,3.23,4.74,5.21,6.18,2011
104,Fresno State,WAC,,4,9,1.57,-8.81,-7.24,27.71,35.82,7.10,8.86,3.56,5.53,5.67,6.83,2011
105,Duke,ACC (Coastal),,3,9,-1.18,-6.16,-7.34,25.04,31.17,6.19,8.68,2.77,5.59,4.96,6.80,2011
106,Louisiana-Monroe,Sun Belt,,4,8,-5.42,-2.38,-7.80,21.73,28.61,4.88,7.48,3.51,4.13,4.51,5.58,2011
107,UTEP,CUSA (West),,5,7,-2.65,-5.28,-7.93,24.42,30.75,6.02,8.32,3.94,5.94,5.27,6.68,2011
110,Rice,CUSA (West),,4,8,-2.95,-5.20,-8.15,23.16,30.73,5.35,8.79,3.45,5.33,4.55,6.60,2011
111,Maryland,ACC (Atlantic),,2,10,-1.11,-7.11,-8.22,26.30,32.32,5.48,7.65,4.42,5.28,5.19,6.04,2011
112,Colorado,Pac-12 (South),,3,10,-5.94,-2.73,-8.67,22.87,31.11,6.42,8.14,3.16,5.62,5.14,6.43,2011
113,Army,Ind,,3,9,-6.41,-2.47,-8.88,24.06,28.69,4.86,8.86,5.00,5.49,5.09,6.47,2011
114,North Texas,Sun Belt,,5,7,-5.41,-4.53,-9.94,22.94,31.54,5.77,8.38,3.43,5.38,4.67,6.52,2011
115,Buffalo,MAC (East),,3,9,-5.46,-5.43,-10.89,21.56,32.65,4.70,8.56,3.74,5.25,4.56,6.27,2011
116,Indiana,Big Ten (Leaders),,1,11,-2.67,-8.24,-10.91,24.54,36.88,5.61,9.23,3.73,5.85,4.81,6.87,2011
117,Central Michigan,MAC (West),,3,9,-4.28,-7.00,-11.28,20.35,34.87,6.18,8.99,3.55,5.40,5.41,6.66,2011
118,New Mexico State,WAC,,4,9,-3.09,-8.86,-11.95,22.99,38.58,7.17,8.07,2.98,6.07,5.36,6.63,2011
119,Colorado State,MWC,,3,9,-6.54,-6.15,-12.69,17.87,33.18,4.98,8.51,3.56,6.08,4.53,6.74,2011
120,Idaho,WAC,,2,10,-8.33,-4.92,-13.24,18.31,33.58,4.69,8.31,2.91,4.87,4.11,6.16,2011
121,UAB,CUSA (East),,3,9,-6.51,-8.52,-15.03,18.78,38.21,5.82,9.24,3.37,6.15,4.95,7.19,2011
122,Troy,Sun Belt,,3,9,-6.81,-8.73,-15.54,18.90,36.03,5.61,9.04,2.44,5.27,4.67,6.59,2011
123,Nevada-Las Vegas,MWC,,2,10,-9.95,-7.77,-17.72,15.73,39.56,3.48,9.33,3.14,5.36,3.56,6.74,2011
124,Memphis,CUSA (East),,2,10,-12.32,-5.85,-18.17,13.33,38.61,4.80,9.45,2.01,5.94,3.76,7.28,2011
125,Middle Tennessee State,Sun Belt,,2,10,-6.35,-12.51,-18.86,19.74,41.19,5.00,8.63,3.50,5.69,4.58,6.52,2011
126,Akron,MAC (East),,1,11,-12.02,-7.09,-19.11,14.51,41.93,4.27,9.21,2.76,5.71,3.79,6.74,2011
127,Tulane,CUSA (West),,2,11,-9.85,-9.26,-19.11,17.52,39.39,4.74,8.70,2.98,5.41,4.23,6.49,2011
128,New Mexico,MWC,,1,11,-16.29,-3.02,-19.31,9.45,40.62,4.89,9.62,2.43,5.93,3.96,7.08,2011
129,Florida Atlantic,Sun Belt,,1,11,-15.32,-7.30,-22.63,10.99,37.48,4.02,8.01,2.80,4.88,3.63,5.92,2011
