,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
70,UCLA,Pac-10,,4,8,-2.55,3.18,0.62,26.24,22.33,5.90,6.44,3.75,5.75,4.82,5.84,2010
71,Iowa State,Big 12 (North),,5,7,-1.37,1.80,0.43,25.27,25.85,5.83,6.98,2.90,5.33,4.35,5.82,2010
72,Fresno State,WAC,,8,5,2.72,-2.54,0.18,27.80,28.41,7.82,6.98,2.74,5.52,5.07,5.94,2010
73,Northwestern,Big Ten,,7,6,0.90,-2.34,-1.44,26.55,28.98,7.85,6.71,2.81,6.29,4.95,6.42,2010
74,Ole Miss,SEC (West),,4,8,6.06,-7.88,-1.83,33.02,32.50,7.37,7.67,4.43,5.21,5.75,6.27,2010
75,Cincinnati,Big East,,4,8,1.20,-3.13,-1.93,30.94,28.16,7.44,7.72,4.18,4.73,5.91,5.89,2010
76,SMU,CUSA (West),,7,7,-3.05,1.01,-2.04,23.13,24.28,7.32,6.45,3.67,4.64,5.71,5.39,2010
77,Houston,CUSA (West),,5,7,6.65,-8.76,-2.11,35.34,33.84,7.76,7.39,3.60,5.88,5.87,6.37,2010
78,Army,Ind,,7,6,-0.68,-1.75,-2.43,24.18,27.07,7.16,7.79,3.33,5.40,4.34,6.36,2010
79,Idaho,WAC,,6,7,-1.41,-1.36,-2.77,24.89,28.93,6.91,6.72,1.66,6.32,4.84,6.30,2010
80,Virginia,ACC (Coastal),,4,8,-1.10,-2.20,-3.29,26.23,27.87,7.20,7.57,3.10,5.94,5.24,6.43,2010
81,Temple,MAC (East),,8,4,-4.50,1.11,-3.39,21.97,25.49,7.02,6.82,3.09,5.25,4.84,5.78,2010
82,Louisiana Tech,WAC,,5,7,0.50,-4.20,-3.70,26.22,29.51,6.33,7.39,3.17,5.54,4.80,6.29,2010
83,Toledo,MAC (West),,8,5,-0.69,-3.02,-3.70,25.97,31.07,6.84,6.88,3.23,5.24,4.96,5.95,2010
84,Troy,Sun Belt,,8,5,2.19,-6.29,-4.10,29.37,34.00,7.03,7.70,3.15,5.80,5.31,6.51,2010
85,Western Michigan,MAC (West),,6,6,-1.47,-2.63,-4.10,27.80,28.66,6.84,8.17,2.57,5.91,4.94,6.63,2010
88,Washington State,Pac-10,,2,10,-2.04,-2.15,-4.20,25.98,28.86,8.16,7.79,2.20,6.06,5.14,6.57,2010
89,East Carolina,CUSA (East),,6,7,11.27,-15.75,-4.48,37.37,43.37,6.44,7.63,3.73,6.29,5.39,6.79,2010
90,Indiana,Big Ten,,5,7,0.74,-5.22,-4.49,27.01,33.68,6.68,8.23,2.58,5.89,5.00,6.97,2010
91,Duke,ACC (Coastal),,3,9,2.64,-7.23,-4.59,29.26,34.35,7.05,8.36,2.72,5.48,5.10,6.63,2010
92,Florida International,Sun Belt,,7,6,0.10,-4.81,-4.71,25.69,30.63,6.89,7.03,3.69,6.03,5.23,6.30,2010
93,Minnesota,Big Ten,,3,9,0.37,-5.43,-5.06,26.59,30.40,7.65,8.31,2.90,5.86,5.12,6.76,2010
94,Wake Forest,ACC (Atlantic),,3,9,-0.88,-4.20,-5.07,27.59,33.34,5.96,6.97,3.62,5.40,4.64,6.11,2010
95,Purdue,Big Ten,,4,8,-5.98,0.80,-5.18,19.78,26.49,5.09,6.76,3.41,4.42,4.22,5.47,2010
96,Ohio,MAC (East),,8,5,-2.30,-3.49,-5.79,21.89,30.57,7.35,8.11,3.16,5.27,4.84,6.41,2010
97,Miami (OH),MAC (East),,10,4,-6.14,0.27,-5.86,18.35,28.07,6.72,7.62,1.97,5.35,4.61,6.31,2010
98,Rutgers,Big East,,4,8,-3.75,-3.02,-6.76,22.79,27.92,7.38,8.03,2.06,5.11,4.44,6.31,2010
99,Arkansas State,Sun Belt,,4,8,0.56,-8.01,-7.45,26.43,33.67,6.77,8.13,3.01,5.54,5.01,6.39,2010
100,Utah State,WAC,,4,8,-3.18,-4.46,-7.64,22.40,31.67,6.92,6.89,2.67,6.29,4.53,6.28,2010
101,UTEP,CUSA (West),,6,7,-4.82,-3.31,-8.13,20.20,30.55,6.28,7.00,3.16,6.22,4.84,6.38,2010
102,Kansas,Big 12 (North),,3,9,-8.02,-0.59,-8.61,18.10,31.90,5.65,7.90,2.33,5.80,3.91,6.50,2010
103,Kent State,MAC (East),,5,7,-7.50,-1.32,-8.82,18.28,29.03,5.66,6.82,2.40,4.28,4.15,5.45,2010
104,UAB,CUSA (East),,4,8,-1.29,-7.91,-9.20,23.67,33.69,6.68,7.35,3.66,5.45,5.28,6.25,2010
105,Wyoming,MWC,,3,9,-6.56,-2.76,-9.31,20.19,29.49,7.26,7.47,2.62,5.76,4.80,6.17,2010
106,Vanderbilt,SEC (East),,2,10,-10.40,0.82,-9.57,18.69,26.64,5.61,7.24,3.23,5.01,4.41,5.81,2010
107,Marshall,CUSA (East),,5,7,-6.50,-3.23,-9.73,18.66,30.41,6.11,6.66,2.48,5.05,4.48,5.77,2010
110,Central Michigan,MAC (West),,3,9,-5.37,-4.37,-9.74,20.99,29.23,6.69,6.86,1.73,5.79,4.51,6.24,2010
111,Middle Tennessee State,Sun Belt,,6,7,-3.79,-6.81,-10.59,20.26,34.49,5.73,7.04,3.10,5.71,4.42,5.99,2010
112,Colorado State,MWC,,3,9,-8.99,-1.87,-10.86,17.45,33.64,6.98,8.41,2.38,6.24,4.77,6.84,2010
113,Louisiana-Monroe,Sun Belt,,5,7,-7.50,-3.54,-11.04,17.51,33.78,6.58,7.14,1.91,5.36,4.23,6.04,2010
114,Rice,CUSA (West),,4,8,0.06,-11.14,-11.08,25.62,38.35,7.11,8.74,2.63,4.88,4.68,6.65,2010
115,Nevada-Las Vegas,MWC,,2,11,-6.25,-5.61,-11.86,21.27,36.37,6.73,8.30,2.02,6.18,4.24,6.68,2010
116,San Jose State,WAC,,1,12,-8.71,-3.69,-12.40,16.64,32.12,7.19,7.50,1.77,6.15,4.80,6.54,2010
117,Tulane,CUSA (West),,4,8,-3.93,-9.50,-13.42,21.81,38.10,5.89,7.32,2.60,6.12,4.34,6.51,2010
118,North Texas,Sun Belt,,3,9,-6.78,-7.40,-14.18,18.96,33.16,6.14,7.96,3.71,6.09,4.89,6.73,2010
119,Ball State,MAC (West),,4,8,-6.59,-8.24,-14.83,17.31,36.87,5.43,8.41,2.98,6.14,4.12,6.92,2010
120,Western Kentucky,Sun Belt,,2,10,-7.00,-8.37,-15.37,19.23,36.18,5.59,7.47,3.02,6.25,4.25,6.57,2010
121,Florida Atlantic,Sun Belt,,4,8,-11.47,-4.43,-15.90,13.06,32.79,7.18,7.74,1.73,5.76,4.41,6.26,2010
122,Bowling Green State,MAC (East),,2,10,-7.30,-9.46,-16.76,18.15,36.89,5.68,7.48,1.13,6.67,3.72,6.80,2010
123,Louisiana,Sun Belt,,3,9,-6.93,-9.98,-16.92,18.30,38.64,6.56,7.80,1.75,5.46,4.37,6.38,2010
124,New Mexico,MWC,,1,11,-8.77,-9.00,-17.76,17.09,42.56,5.49,7.85,1.79,6.30,3.64,6.63,2010
125,New Mexico State,WAC,,2,10,-10.39,-7.74,-18.13,14.36,39.10,5.49,7.64,2.14,7.19,3.84,7.11,2010
126,Eastern Michigan,MAC (West),,2,10,-7.24,-11.83,-19.07,18.15,47.42,6.54,9.38,3.04,7.38,4.49,8.03,2010
127,Buffalo,MAC (East),,2,10,-14.70,-4.50,-19.20,9.78,32.90,4.70,7.21,1.72,5.02,3.28,5.77,2010
128,Memphis,CUSA (East),,1,11,-13.88,-5.55,-19.43,13.09,38.73,7.00,9.37,1.96,5.19,4.37,6.89,2010
129,Akron,MAC (East),,1,11,-12.16,-9.38,-21.54,12.95,39.92,4.91,9.47,2.42,5.70,3.71,7.15,2010
