,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
0,Alabama,SEC (West),1,13,1,6.53,17.98,24.51,43.90,6.55,9.06,5.93,5.07,3.11,7.01,4.00,2012
1,Oregon,Pac-12 (North),2,12,1,17.21,6.22,23.43,53.39,17.73,7.56,6.02,5.05,5.26,6.52,5.09,2012
2,Texas A&M,SEC (West),5,11,2,14.01,6.05,20.05,49.02,17.77,8.15,7.15,5.41,4.57,7.14,5.39,2012
3,Georgia,SEC (East),5,12,2,9.85,8.08,17.93,42.55,16.84,10.00,7.08,4.31,4.91,7.29,5.31,2012
4,Florida,SEC (East),9,11,2,2.27,15.09,17.35,32.00,9.35,6.61,5.48,4.02,3.70,5.45,4.19,2012
5,Notre Dame,Ind,4,12,1,1.84,15.15,16.98,33.52,9.71,7.70,6.16,4.28,4.33,6.23,4.83,2012
6,Kansas State,Big 12,12,11,2,7.52,9.40,16.92,42.41,14.11,8.01,6.98,3.89,4.39,5.96,5.22,2012
7,South Carolina,SEC (East),8,11,2,5.03,10.94,15.97,35.18,14.29,8.19,6.61,3.05,4.09,5.71,4.63,2012
8,Stanford,Pac-12 (North),7,12,2,2.47,13.11,15.58,32.54,10.99,6.82,6.02,3.52,4.07,5.43,4.62,2012
9,LSU,SEC (West),14,10,3,5.49,9.27,14.76,35.29,14.59,7.11,5.87,3.70,3.83,5.56,4.47,2012
10,Clemson,ACC (Atlantic),11,11,2,13.72,1.04,14.75,43.99,24.65,8.67,7.66,3.43,5.57,6.28,6.13,2012
11,Oklahoma,Big 12,15,10,3,9.05,5.27,14.32,43.37,17.97,7.04,6.41,4.21,5.74,6.30,5.56,2012
12,Ohio State,Big Ten (Leaders),3,12,0,9.92,3.89,13.81,39.52,21.50,7.45,6.86,4.22,4.64,5.86,5.35,2012
13,Florida State,ACC (Atlantic),10,12,2,3.12,10.44,13.56,40.18,15.31,8.16,5.51,4.71,4.20,6.80,4.40,2012
14,Oklahoma State,Big 12,,8,5,11.19,2.31,13.50,48.65,20.81,7.98,6.91,4.54,4.38,6.72,5.21,2012
