,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
15,Oregon State,Pac-12 (North),20,9,4,4.20,7.94,12.14,38.08,15.41,7.88,6.51,2.87,5.03,6.03,5.32,2012
16,Baylor,Big 12,,8,5,18.47,-7.25,11.22,49.04,30.33,8.71,7.84,4.37,5.35,6.77,6.13,2012
17,Texas,Big 12,19,9,4,8.01,3.18,11.18,40.32,21.21,8.06,7.99,3.78,5.35,6.14,5.78,2012
18,Utah State,WAC,16,11,2,1.91,8.80,10.71,31.81,17.64,7.15,6.62,4.18,4.52,6.09,4.99,2012
19,USC,Pac-12 (South),,7,6,5.71,4.82,10.53,36.49,18.91,7.91,6.95,4.08,4.89,6.62,5.42,2012
22,Michigan,Big Ten (Legends),24,8,5,3.66,6.35,10.01,35.86,18.67,8.10,7.20,4.16,4.68,6.21,5.33,2012
23,Vanderbilt,SEC (East),23,9,4,0.53,9.35,9.88,32.97,17.78,7.67,6.30,3.40,5.03,5.65,5.15,2012
24,Nebraska,Big Ten (Legends),25,10,4,8.87,0.91,9.79,40.62,25.28,7.57,6.21,4.70,5.64,6.25,5.49,2012
25,Wisconsin,Big Ten (Leaders),,8,6,3.26,6.51,9.77,34.00,17.47,7.49,6.41,4.37,4.87,5.92,5.18,2012
26,Penn State,Big Ten (Leaders),,8,4,2.14,7.56,9.70,30.83,18.00,6.68,7.08,2.50,4.34,5.05,5.33,2012
27,Arizona,Pac-12 (South),,8,5,10.75,-1.37,9.38,41.98,29.31,7.05,7.85,4.39,5.54,6.19,6.08,2012
28,Arizona State,Pac-12 (South),,8,5,6.85,2.15,9.00,40.52,21.77,7.63,6.02,3.41,5.49,5.71,5.09,2012
29,Northwestern,Big Ten (Legends),17,10,3,6.82,2.14,8.97,35.66,22.84,5.64,7.20,4.09,5.00,5.22,5.72,2012
30,Brigham Young,Ind,,8,5,-0.67,9.44,8.77,29.89,14.91,5.96,6.57,2.96,4.41,4.95,4.87,2012
31,UCLA,Pac-12 (South),,9,5,6.16,2.59,8.75,37.81,22.08,7.62,7.53,3.52,5.19,5.86,5.67,2012
32,Cincinnati,Big East,,10,3,3.62,5.09,8.71,31.41,21.88,7.32,7.42,4.25,5.45,6.14,5.92,2012
33,Ole Miss,SEC (West),,7,6,8.22,0.21,8.43,37.10,23.95,7.60,7.24,3.46,4.39,5.74,5.25,2012
34,San Jose State,WAC,21,11,2,5.23,2.67,7.90,33.56,24.12,8.44,7.60,2.07,4.91,5.81,5.75,2012
35,Boise State,MWC,18,11,2,0.47,7.38,7.85,29.07,18.64,6.73,6.99,3.23,5.23,5.37,5.37,2012
36,Texas Christian,Big 12,,7,6,1.18,6.31,7.49,32.78,16.24,7.23,7.02,3.16,4.01,5.41,4.98,2012
37,UCF,CUSA (East),,10,4,2.85,3.81,6.65,33.34,21.83,6.88,7.48,3.72,5.44,5.62,5.85,2012
38,Fresno State,MWC,,9,4,4.58,1.76,6.33,35.56,24.42,7.05,6.80,2.77,5.30,5.56,5.47,2012
39,Louisiana Tech,WAC,,9,3,20.90,-14.57,6.33,49.52,40.83,6.90,9.14,3.92,6.11,5.94,7.09,2012
40,Texas Tech,Big 12,,8,5,7.58,-1.25,6.33,40.72,26.59,7.05,7.30,3.55,5.02,6.10,5.46,2012
41,Syracuse,Big East,,8,5,5.26,1.01,6.27,32.81,24.75,7.32,8.29,3.70,5.18,5.88,6.06,2012
44,Tulsa,CUSA (West),,11,3,4.33,1.91,6.24,34.15,23.56,5.27,7.65,3.79,4.70,4.92,5.44,2012
45,Michigan State,Big Ten (Legends),,7,6,-4.34,10.55,6.21,24.46,13.40,5.67,5.74,3.05,4.00,4.77,4.54,2012
46,Mississippi State,SEC (West),,8,5,0.79,5.36,6.15,32.52,20.41,6.82,7.25,3.82,4.99,5.77,5.54,2012
47,Louisville,Big East,13,11,2,6.37,-0.49,5.88,33.13,26.56,7.83,7.36,2.75,5.50,5.81,5.87,2012
48,Missouri,SEC (East),,5,7,2.86,2.68,5.54,33.14,21.63,6.41,6.89,3.21,4.51,5.23,5.25,2012
49,Iowa State,Big 12,,6,7,-1.69,7.09,5.40,28.67,16.30,5.42,7.65,3.57,5.02,5.01,5.75,2012
50,Georgia Tech,ACC (Coastal),,7,7,5.42,-0.24,5.18,36.72,25.48,9.19,7.18,4.50,5.42,6.09,5.74,2012
51,Arkansas State,Sun Belt,,10,3,2.53,2.41,4.94,33.90,24.33,7.45,7.54,3.81,5.12,5.88,5.80,2012
52,Washington,Pac-12 (North),,7,6,-1.29,6.19,4.90,28.16,20.39,6.16,6.91,3.16,5.57,5.08,5.57,2012
53,Northern Illinois,MAC (West),22,12,2,1.94,2.70,4.64,34.13,24.14,6.49,7.62,3.92,4.62,5.54,5.47,2012
54,North Carolina,ACC (Coastal),,8,4,5.93,-1.41,4.52,39.00,27.40,7.34,7.49,3.89,5.32,6.07,5.81,2012
55,Miami (FL),ACC (Coastal),,7,5,6.15,-2.08,4.07,35.23,28.38,7.80,7.67,3.92,6.05,6.47,6.29,2012
56,Tennessee,SEC (East),,5,7,12.79,-8.72,4.07,42.05,33.04,7.85,7.73,4.14,5.76,6.61,6.24,2012
57,West Virginia,Big 12,,7,6,10.42,-6.39,4.03,42.78,31.47,7.49,9.60,4.08,4.68,6.39,6.33,2012
58,Rutgers,Big East,,9,4,-6.36,10.27,3.91,20.93,16.33,5.80,7.33,2.72,4.03,4.75,5.04,2012
59,Louisiana,Sun Belt,,9,4,5.44,-1.99,3.45,34.91,29.41,7.86,8.55,4.21,5.47,6.35,6.45,2012
60,Virginia Tech,ACC (Coastal),,7,6,-0.75,3.89,3.13,27.73,21.19,6.62,6.25,2.79,4.64,5.04,4.88,2012
61,Kent State,MAC (East),,11,3,4.10,-1.35,2.75,30.16,29.00,5.19,8.64,4.12,5.10,5.14,6.34,2012
62,San Diego State,MWC,,9,4,3.01,-0.31,2.69,31.21,26.85,6.51,7.70,3.63,5.10,5.30,5.87,2012
63,Utah,Pac-12 (South),,5,7,-0.37,2.88,2.51,30.00,22.25,6.28,7.42,2.62,4.97,4.78,5.53,2012
66,Arkansas,SEC (West),,4,8,0.72,1.68,2.40,30.38,26.94,7.79,8.54,3.64,4.15,6.42,5.89,2012
67,Pitt,Big East,,6,7,-0.37,2.43,2.05,28.76,23.80,7.76,6.86,2.85,5.13,5.60,5.44,2012
68,SMU,CUSA (West),,7,6,-1.72,3.36,1.64,30.63,24.30,4.80,7.47,3.17,4.99,4.60,5.95,2012
69,North Carolina State,ACC (Atlantic),,7,6,1.20,0.26,1.46,29.40,25.50,6.84,7.49,2.16,5.51,5.16,5.91,2012
70,Louisiana-Monroe,Sun Belt,,8,5,3.57,-3.61,-0.03,32.98,30.26,6.07,8.20,2.96,5.22,5.14,6.21,2012
71,Toledo,MAC (West),,9,4,3.00,-3.18,-0.18,28.74,30.43,6.42,8.62,3.49,6.46,5.40,7.02,2012
72,Bowling Green State,MAC (East),,8,5,-7.22,6.95,-0.27,19.24,21.78,5.27,7.22,2.97,4.99,4.65,5.51,2012
73,Duke,ACC (Coastal),,6,7,5.48,-5.76,-0.28,34.16,34.43,6.61,9.07,2.85,6.10,5.34,6.92,2012
74,California,Pac-12 (North),,3,9,-1.21,0.57,-0.65,28.15,27.14,6.84,7.33,4.04,5.40,5.80,5.79,2012
75,Auburn,SEC (West),,3,9,-6.65,5.72,-0.92,23.55,22.32,7.02,7.10,3.56,5.70,5.30,5.78,2012
76,Western Kentucky,Sun Belt,,7,6,-0.31,-1.19,-1.50,26.97,26.93,6.99,7.48,3.56,5.06,5.45,5.70,2012
77,Purdue,Big Ten (Leaders),,6,7,0.85,-2.44,-1.58,30.84,29.44,5.94,7.37,3.58,5.77,5.24,6.08,2012
78,Ball State,MAC (West),,9,4,3.36,-4.96,-1.60,30.20,32.15,5.33,8.58,3.37,6.18,4.85,6.71,2012
79,Navy,Ind,,8,5,-4.64,2.88,-1.76,23.49,26.20,6.83,8.35,3.83,6.11,5.05,6.48,2012
80,Middle Tennessee State,Sun Belt,,8,4,-1.48,-0.97,-2.45,25.66,30.51,6.72,8.62,3.42,5.95,5.34,6.69,2012
81,Iowa,Big Ten (Legends),,4,8,-5.36,2.74,-2.62,22.08,21.34,5.43,8.30,2.77,5.08,4.51,5.96,2012
82,Ohio,MAC (East),,9,4,-0.84,-1.92,-2.75,25.64,29.40,6.58,7.83,2.90,6.15,4.96,6.33,2012
83,Minnesota,Big Ten (Legends),,6,7,-4.29,1.04,-3.25,24.53,24.24,6.15,6.89,2.96,5.62,4.74,5.71,2012
84,Troy,Sun Belt,,5,7,2.25,-5.70,-3.45,29.80,31.51,6.86,8.69,3.19,5.85,5.63,6.63,2012
85,Rice,CUSA (West),,7,6,0.99,-4.51,-3.52,28.14,30.30,6.16,9.20,2.90,6.28,4.71,7.00,2012
88,Nevada,MWC,,7,6,7.57,-11.18,-3.60,35.55,36.19,6.78,8.00,3.86,6.30,5.57,6.57,2012
89,Virginia,ACC (Coastal),,4,8,-3.97,0.13,-3.84,23.28,26.31,6.22,6.62,2.79,5.40,5.07,5.51,2012
90,East Carolina,CUSA (East),,8,5,0.98,-5.21,-4.23,28.33,32.73,6.25,8.21,2.45,5.84,4.98,6.53,2012
91,Kentucky,SEC (East),,2,10,-6.88,1.59,-5.29,22.67,27.20,5.24,7.45,3.62,4.89,4.86,5.48,2012
92,Connecticut,Big East,,5,7,-9.80,4.45,-5.35,18.19,22.84,6.32,7.51,1.62,4.15,4.45,5.17,2012
93,Indiana,Big Ten (Leaders),,4,8,5.05,-10.58,-5.53,33.06,37.34,6.36,9.05,2.98,6.22,5.37,6.92,2012
94,Houston,CUSA (West),,5,7,1.01,-6.55,-5.54,28.83,34.40,5.48,7.84,3.10,5.87,5.00,6.21,2012
95,Marshall,CUSA (East),,5,7,9.91,-15.94,-6.04,37.74,43.81,6.09,8.13,2.89,6.04,5.22,6.44,2012
96,South Florida,Big East,,3,9,-5.09,-1.04,-6.13,22.02,26.75,5.70,8.51,3.31,4.69,5.00,5.77,2012
97,Wake Forest,ACC (Atlantic),,5,7,-6.10,-0.10,-6.20,20.70,30.43,5.30,8.02,2.01,5.29,4.17,6.02,2012
98,Maryland,ACC (Atlantic),,4,8,-6.07,-0.52,-6.59,20.76,25.64,6.61,7.06,1.72,4.73,4.18,5.26,2012
99,Kansas,Big 12,,1,11,-7.26,0.56,-6.70,22.45,27.29,5.04,8.69,3.87,5.84,4.81,6.68,2012
100,Boston College,ACC (Atlantic),,2,10,-5.75,-0.99,-6.74,22.49,27.91,6.24,6.97,2.27,5.71,4.99,5.86,2012
101,Washington State,Pac-12 (North),,3,9,-2.75,-4.15,-6.89,24.74,30.83,6.21,8.29,0.39,5.17,4.88,6.08,2012
102,Air Force,MWC,,6,7,-2.64,-4.71,-7.35,23.88,31.74,7.59,8.96,3.54,5.74,4.88,6.49,2012
103,UTSA,WAC,,8,4,-1.27,-6.22,-7.49,24.32,34.29,6.02,9.10,2.77,5.16,4.85,6.65,2012
104,Temple,Big East,,4,7,-1.50,-6.02,-7.52,27.11,34.43,5.25,9.36,4.04,6.18,4.96,6.86,2012
105,Central Michigan,MAC (West),,7,6,0.73,-8.64,-7.91,25.77,37.19,6.56,8.81,3.26,6.35,5.46,6.91,2012
106,Texas State,WAC,,4,8,-3.51,-4.52,-8.03,23.90,33.77,5.47,8.25,3.73,6.96,5.05,6.95,2012
107,North Texas,Sun Belt,,4,8,-6.85,-1.56,-8.41,21.03,27.57,6.15,7.77,3.38,6.15,5.10,6.52,2012
110,Buffalo,MAC (East),,4,8,-5.41,-3.37,-8.78,20.09,31.77,5.34,8.20,3.21,5.20,4.70,5.79,2012
111,Florida International,Sun Belt,,3,9,-3.97,-5.14,-9.10,23.64,31.19,6.68,7.69,2.36,5.20,4.75,5.91,2012
112,UTEP,CUSA (West),,3,9,-6.47,-2.82,-9.29,20.93,28.48,6.45,8.60,2.67,6.22,4.89,6.68,2012
113,Western Michigan,MAC (West),,4,8,-1.41,-8.13,-9.54,25.87,35.06,5.62,8.94,3.06,5.46,5.06,6.53,2012
114,Florida Atlantic,Sun Belt,,3,9,-5.88,-3.95,-9.83,21.47,31.18,6.01,8.76,2.31,5.81,4.67,6.40,2012
115,New Mexico,MWC,,4,9,-6.08,-3.83,-9.91,22.22,32.10,4.85,9.16,4.15,6.83,5.07,7.49,2012
116,Illinois,Big Ten (Leaders),,2,10,-12.42,2.07,-10.35,17.72,27.53,5.26,8.62,2.50,5.45,4.19,6.09,2012
117,Wyoming,MWC,,4,8,-1.85,-8.93,-10.78,24.27,35.53,6.66,8.50,1.87,6.46,4.75,6.82,2012
118,Memphis,CUSA (East),,4,8,-7.30,-3.80,-11.09,19.87,30.87,5.88,7.45,2.22,5.55,4.11,5.90,2012
119,UAB,CUSA (East),,3,9,-3.52,-8.13,-11.66,25.79,37.37,6.92,9.17,2.00,6.13,5.16,6.83,2012
120,Miami (OH),MAC (East),,4,8,-4.20,-7.50,-11.70,21.34,38.24,6.30,8.91,1.77,6.71,4.98,7.05,2012
121,Colorado State,MWC,,4,8,-6.46,-6.08,-12.54,19.13,32.91,6.20,7.52,2.52,6.18,4.82,6.19,2012
122,Colorado,Pac-12 (South),,1,11,-6.24,-6.42,-12.66,21.85,41.43,5.66,8.95,2.20,7.17,4.40,7.31,2012
123,Hawaii,MWC,,3,9,-10.47,-3.28,-13.75,21.00,37.91,4.90,8.02,1.72,5.59,3.80,5.98,2012
124,Army,Ind,,2,10,-3.33,-10.90,-14.23,22.65,38.80,5.81,10.42,4.28,6.63,5.06,7.52,2012
125,Tulane,CUSA (West),,2,10,-6.46,-7.76,-14.23,21.25,38.20,5.35,9.12,0.72,6.46,4.23,6.99,2012
126,Nevada-Las Vegas,MWC,,2,11,-7.96,-6.61,-14.57,19.14,33.92,5.16,9.11,2.92,6.05,4.58,6.66,2012
127,South Alabama,Sun Belt,,2,11,-9.93,-5.34,-15.26,16.47,31.25,5.01,8.44,2.13,5.60,4.00,6.19,2012
128,Akron,MAC (East),,1,11,-6.20,-9.11,-15.31,22.86,38.15,5.38,8.56,2.36,6.24,4.70,6.62,2012
129,Eastern Michigan,MAC (West),,2,10,-7.28,-9.34,-16.61,19.59,39.90,5.59,8.60,3.14,7.31,4.67,7.34,2012
132,Idaho,WAC,,1,11,-11.73,-5.65,-17.38,15.29,42.23,5.33,8.89,1.98,6.59,4.31,7.08,2012
133,Southern Mississippi,CUSA (East),,0,12,-9.19,-8.85,-18.04,19.07,36.62,5.80,8.36,2.62,6.32,4.42,6.57,2012
134,New Mexico State,WAC,,1,11,-9.83,-9.17,-19.00,16.98,41.49,6.08,8.89,1.60,6.94,4.36,7.27,2012
135,Massachusetts,MAC (East),,1,11,-15.59,-5.37,-20.97,11.63,42.24,4.19,8.79,1.61,6.68,3.51,6.89,2012
