,Jan,Aug,Sept,Oct,Nov,Dec,Team1Site,Team2Site,Team1_Win_Precentage,ML1,Team1_AP_Rank,Team1_W,Team1_L,Team1_OSRS,Team1_DSRS,Team1_SRS,Team1_ScoringOff,Team1_ScoringDef,Team1_PassingOff,Team1_PassingDef,Team1_RushingOff,Team1_RushingDef,Team1_TotalOff,Team1_TotalDef,Team1_ACC,Team1_American,Team1_Big12,Team1_BigEast,Team1_BigTen,Team1_CUSA,Team1_Ind,Team1_MAC,Team1_MWC,Team1_Pac-10,Team1_Pac-12,Team1_SEC,Team1_SunBelt,Team1_WAC,Team2_Win_Precentage,ML2,Team2_AP_Rank,Team2_W,Team2_L,Team2_OSRS,Team2_DSRS,Team2_SRS,Team2_ScoringOff,Team2_ScoringDef,Team2_PassingOff,Team2_PassingDef,Team2_RushingOff,Team2_RushingDef,Team2_TotalOff,Team2_ACC,Team2_American,Team2_Big12,Team2_BigEast,Team2_BigTen,Team2_CUSA,Team2_Ind,Team2_MAC,Team2_MWC,Team2_Pac-10,Team2_Pac-12,Team2_SEC,Team2_SunBelt,Team2_WAC,Team2_TotalDef,Spread_Open,Spread_Close
1172,0,0,0,1,0,0,1,-1,0.15384615384615385,275,67.0,2.0,11.0,-9.85,-9.26,-19.11,17.52,39.39,4.74,8.7,2.98,5.41,4.23,6.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4166666666666667,-345,67.0,5.0,7.0,-1.38,-1.77,-3.15,25.55,25.99,5.7,8.38,3.55,4.27,4.88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.94,10.0,9.5
6578,0,0,0,0,1,0,1,-1,0.6153846153846154,130,67.0,8.0,5.0,3.16,2.68,5.84,71.16,-16.56,12.02,3.52,7.38,1.49,9.47,2.27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5384615384615384,-150,67.0,7.0,6.0,7.77,-2.93,4.84,75.52,-10.9,11.86,3.53,6.93,2.88,9.72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.66,2.5,3.0
3759,0,0,0,1,0,0,1,-1,0.5384615384615384,135,67.0,7.0,6.0,4.3,10.62,14.91,81.77,-30.19,11.68,1.93,8.22,0.2,9.63,1.19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7692307692307693,-155,9.0,10.0,3.0,10.88,7.96,18.84,89.55,-26.48,12.7,1.21,9.22,1.28,10.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3,3.0,3.0
1626,0,1,0,0,0,0,1,-1,0.15384615384615385,255,67.0,2.0,11.0,-7.96,-6.61,-14.57,19.14,33.92,5.16,9.11,2.92,6.05,4.58,6.66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4615384615384616,-310,67.0,6.0,7.0,-4.29,1.04,-3.25,24.53,24.24,6.15,6.89,2.96,5.62,4.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.71,8.0,9.5
5583,0,0,0,1,0,0,1,-1,0.4166666666666667,157,67.0,5.0,7.0,3.16,-1.41,1.75,77.22,-18.59,12.95,1.91,8.65,0.06,10.08,1.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5384615384615384,-177,67.0,7.0,6.0,2.67,0.34,3.01,80.58,-19.34,12.85,1.46,8.95,0.28,10.24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.98,2.5,3.5
4711,0,0,0,1,0,0,1,-1,0.8571428571428571,-1055,9.0,12.0,2.0,3.7,7.1,10.8,47.34,5.71,9.61,4.93,5.71,2.43,7.09,3.88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,755,67.0,3.0,9.0,1.81,-3.89,-2.08,44.35,15.99,7.41,5.93,7.01,2.47,6.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.11,-18.0,-18.0
1853,0,0,1,0,0,0,1,-1,0.3333333333333333,-350,67.0,4.0,8.0,0.72,1.68,2.4,30.38,26.94,7.79,8.54,3.64,4.15,6.42,5.89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6923076923076923,290,67.0,9.0,4.0,-6.36,10.27,3.91,20.93,16.33,5.8,7.33,2.72,4.03,4.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.04,-6.5,-8.0
3418,0,0,1,0,0,0,1,-1,0.5384615384615384,-575,67.0,7.0,6.0,9.39,-2.69,6.7,81.0,-16.69,12.65,2.89,7.64,2.49,10.03,2.63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6153846153846154,435,67.0,8.0,5.0,5.4,-3.06,2.35,78.05,-13.21,11.35,3.13,7.47,1.16,9.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.24,-13.5,-14.5
2396,0,0,0,0,1,0,1,-1,0.7142857142857143,-1360,67.0,10.0,4.0,2.85,3.81,6.65,33.34,21.83,6.88,7.48,3.72,5.44,5.62,5.85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,910,67.0,3.0,9.0,-3.52,-8.13,-11.66,25.79,37.37,6.92,9.17,2.0,6.13,5.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.83,-22.0,-21.5
5581,0,0,0,1,0,0,1,-1,0.7692307692307693,173,11.0,10.0,3.0,8.39,2.77,11.16,85.39,-23.07,14.64,1.79,8.66,0.59,11.08,1.46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7692307692307693,-203,18.0,10.0,3.0,4.01,5.56,9.57,78.75,-26.0,13.69,1.2,9.33,0.18,10.77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.04,1.0,4.5
902,0,0,1,0,0,0,1,-1,0.5384615384615384,-196,67.0,7.0,6.0,7.08,-5.28,1.8,35.26,30.63,7.58,7.69,4.09,5.59,6.0,6.31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4615384615384616,174,67.0,6.0,7.0,0.25,-7.15,-6.9,26.51,32.05,5.71,8.56,3.23,4.74,5.21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.18,-4.5,-4.5
2317,0,0,0,0,1,0,1,-1,0.9230769230769232,-1000,2.0,12.0,1.0,17.21,6.22,23.43,53.39,17.73,7.56,6.02,5.05,5.26,6.52,5.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8571428571428571,700,7.0,12.0,2.0,2.47,13.11,15.58,32.54,10.99,6.82,6.02,3.52,4.07,5.43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.62,-21.5,-18.5
5898,0,0,0,0,0,1,0,0,0.6923076923076923,270,67.0,9.0,4.0,4.0,4.65,8.65,76.61,-23.84,12.24,1.05,8.37,-0.74,9.4,0.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6153846153846154,-335,67.0,8.0,5.0,5.7,3.33,9.03,84.22,-21.44,12.72,2.45,8.5,0.07,10.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.82,5.5,8.0
2988,0,0,0,0,1,0,1,-1,0.16666666666666666,620,67.0,2.0,10.0,-6.11,1.17,-4.94,24.96,27.01,-3.91,15.94,-0.22,8.82,-1.43,11.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8461538461538461,-870,8.0,11.0,2.0,9.21,5.77,14.98,43.55,18.59,-0.12,15.85,0.44,8.29,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,20.0,17.5
968,0,0,1,0,0,0,1,-1,0.5384615384615384,-350,67.0,7.0,6.0,0.62,5.38,6.0,30.47,19.63,7.64,6.85,3.86,4.01,5.65,4.99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4166666666666667,290,67.0,5.0,7.0,-2.57,6.83,4.26,25.03,19.35,7.41,7.52,2.63,4.72,5.28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.69,-8.5,-9.5
