,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
90,Iowa State,Big 12,,3,9,-0.69,-2.89,-3.57,28.60,32.53,-1.94,15.36,-0.27,9.68,-0.67,11.90,2013
91,Nevada,MWC (West),,4,8,-1.70,-1.90,-3.60,26.27,30.18,-2.08,16.46,0.06,11.05,-0.54,13.04,2013
92,Middle Tennessee State,CUSA (East),,8,5,-0.97,-2.74,-3.71,25.90,29.57,-3.27,16.26,0.46,9.38,-0.79,11.95,2013
93,West Virginia,Big 12,,4,8,0.29,-4.02,-3.74,28.72,30.42,-1.76,16.36,0.21,9.07,-0.13,11.93,2013
94,Illinois,Big Ten (Leaders),,4,8,3.96,-7.82,-3.86,32.40,33.34,-1.39,17.10,0.54,9.93,0.19,12.68,2013
95,Nevada-Las Vegas,MWC (West),,7,6,0.73,-4.63,-3.90,27.74,32.84,-3.01,15.93,-0.01,9.54,-0.82,12.02,2013
96,San Diego State,MWC (West),,8,5,-1.19,-3.49,-4.68,24.64,30.25,-2.02,15.56,-0.36,7.91,-0.65,11.06,2013
97,Virginia,ACC (Coastal),,2,10,-6.11,1.17,-4.94,24.96,27.01,-3.91,15.94,-0.22,8.82,-1.43,11.66,2013
98,Troy,Sun Belt,,6,6,3.05,-8.38,-5.33,32.10,38.84,-1.71,19.13,-1.02,9.29,-0.60,13.38,2013
99,North Carolina State,ACC (Atlantic),,3,9,-2.56,-3.10,-5.66,25.36,28.39,-2.25,15.89,-0.19,9.86,-0.75,12.16,2013
100,Rutgers,American,,6,7,-1.75,-3.93,-5.68,25.81,31.06,-2.21,16.95,-0.48,7.71,-0.69,11.88,2013
101,Ohio,MAC (East),,7,6,-3.05,-2.72,-5.77,24.64,33.16,-2.48,16.89,-0.97,9.69,-1.07,12.48,2013
102,Louisiana-Monroe,Sun Belt,,6,6,-6.34,-0.47,-6.81,21.04,31.38,-3.58,16.29,-1.14,9.90,-1.57,12.45,2013
103,Memphis,American,,3,9,-7.99,0.58,-7.41,20.02,25.65,-3.43,16.03,-0.26,7.98,-1.32,11.42,2013
104,SMU,American,,5,7,-0.67,-6.77,-7.44,27.08,33.45,-2.23,16.19,-0.56,8.60,-0.34,11.72,2013
105,California,Pac-12 (North),,1,11,0.74,-9.32,-8.58,29.88,37.59,-1.89,17.18,-0.20,8.75,-0.27,12.36,2013
106,Kansas,Big 12,,3,9,-10.02,1.44,-8.58,17.88,28.12,-3.29,15.80,-0.40,9.11,-1.41,11.82,2013
107,Wyoming,MWC (Mountain),,5,7,-1.42,-7.95,-9.36,26.45,37.36,-2.38,17.60,1.04,9.23,0.08,12.36,2013
110,Kent State,MAC (East),,4,8,-8.05,-1.55,-9.60,18.45,30.03,-3.09,17.00,0.86,10.09,-0.54,12.66,2013
111,Akron,MAC (East),,5,7,-7.35,-2.51,-9.86,17.26,31.06,-3.60,16.47,-1.02,8.88,-1.66,11.96,2013
112,Temple,American,,2,10,-2.73,-7.57,-10.30,24.22,31.88,-1.78,17.30,0.28,9.36,-0.13,12.60,2013
113,Texas State,Sun Belt,,6,6,-7.36,-3.17,-10.53,17.00,31.36,-3.86,16.27,-0.48,9.51,-1.68,12.20,2013
114,Hawaii,MWC (West),,1,11,-0.88,-10.25,-11.13,27.54,36.86,-2.00,17.13,-1.10,8.51,-0.72,11.76,2013
115,Tulsa,CUSA (West),,3,9,-5.83,-5.94,-11.77,21.24,34.28,-3.69,15.84,-0.10,8.99,-1.32,11.68,2013
116,Central Michigan,MAC (West),,6,6,-9.23,-2.74,-11.97,16.72,33.65,-2.78,16.90,-1.09,9.99,-1.40,12.53,2013
117,Connecticut,American,,3,9,-7.66,-4.31,-11.97,21.11,31.93,-2.69,16.18,-1.14,8.51,-1.23,11.68,2013
118,Army,Ind,,3,9,-5.22,-7.13,-12.36,21.52,34.67,-4.10,18.68,1.03,9.81,-0.94,13.04,2013
119,Purdue,Big Ten (Leaders),,1,11,-9.47,-2.96,-12.43,18.57,33.29,-2.51,16.47,-1.17,9.24,-0.97,12.01,2013
120,South Florida,American,,2,10,-11.38,-2.17,-13.56,16.14,28.73,-2.99,15.97,-0.84,8.55,-1.44,11.40,2013
121,New Mexico,MWC (Mountain),,3,9,0.33,-14.44,-14.10,29.47,43.82,-1.86,18.38,1.97,10.50,0.31,13.46,2013
122,Air Force,MWC (Mountain),,2,10,-4.16,-10.72,-14.88,22.94,40.72,-2.15,18.58,0.56,9.28,-0.79,12.71,2013
123,Louisiana Tech,CUSA (West),,4,8,-9.93,-5.74,-15.66,14.63,34.44,-4.17,17.20,0.02,9.28,-1.34,12.28,2013
124,UAB,CUSA (East),,2,10,-1.77,-14.05,-15.82,23.60,45.68,-1.99,19.24,0.32,10.77,-0.36,14.04,2013
125,UTEP,CUSA (West),,2,10,-8.65,-9.52,-18.17,17.85,43.00,-2.69,19.23,-0.41,10.56,-1.30,13.77,2013
126,Western Michigan,MAC (West),,1,11,-10.43,-8.73,-19.16,14.92,39.41,-4.09,15.04,-1.38,10.33,-1.95,12.12,2013
127,Idaho,Ind,,1,11,-9.43,-9.87,-19.30,16.97,45.64,-2.89,17.03,-1.14,10.22,-1.56,12.84,2013
128,New Mexico State,Ind,,2,10,-7.85,-11.51,-19.36,18.38,46.32,-2.34,17.80,-0.62,11.39,-0.86,13.93,2013
129,Georgia State,Sun Belt,,0,12,-9.64,-10.56,-20.20,15.18,39.91,-3.01,18.10,-0.75,10.32,-1.17,13.29,2013
132,Massachusetts,MAC (East),,1,11,-15.27,-5.13,-20.40,10.56,36.86,-3.59,18.22,-1.02,10.68,-1.89,13.47,2013
133,Southern Mississippi,CUSA (East),,1,11,-12.24,-8.89,-21.13,15.45,44.99,-3.05,17.65,-1.72,9.11,-1.42,12.33,2013
134,Eastern Michigan,MAC (West),,2,10,-10.15,-12.69,-22.84,15.47,48.03,-3.34,19.66,-0.13,11.06,-1.20,14.23,2013
135,Miami (OH),MAC (East),,0,12,-18.67,-4.82,-23.48,8.00,38.68,-4.19,17.22,-2.17,9.75,-2.78,12.59,2013
136,Florida International,CUSA (East),,1,11,-19.13,-4.40,-23.53,5.97,39.64,-4.00,17.49,-2.32,9.95,-2.79,12.84,2013
