,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
0,Florida State,ACC (Atlantic),1,14,0,8.57,14.79,23.36,53.97,11.05,1.07,13.96,1.33,7.71,1.64,10.23,2013
1,Oregon,Pac-12 (North),9,11,2,12.56,8.70,21.27,50.03,15.36,1.00,14.16,1.95,8.32,1.73,10.51,2013
2,Alabama,SEC (West),7,11,2,5.72,14.35,20.06,42.00,10.79,0.06,15.21,1.61,7.40,1.20,10.70,2013
3,Missouri,SEC (East),5,12,2,11.89,8.08,19.97,42.89,16.88,-1.01,15.06,1.37,8.25,0.56,11.23,2013
4,Stanford,Pac-12 (North),11,11,3,5.99,12.97,18.96,38.64,10.11,0.90,14.31,1.11,6.87,0.95,10.14,2013
5,Auburn,SEC (West),2,12,2,13.60,5.21,18.80,45.72,17.95,0.09,15.66,2.07,8.74,1.03,11.64,2013
6,Arizona State,Pac-12 (South),21,10,4,13.67,3.83,17.50,47.64,19.48,-0.30,15.34,0.80,8.00,0.58,10.97,2013
7,UCLA,Pac-12 (South),16,10,3,10.15,6.95,17.10,42.61,17.02,0.25,14.55,0.47,7.97,0.54,10.60,2013
8,Baylor,Big 12,13,11,2,12.51,4.35,16.87,54.83,22.00,1.74,15.18,1.22,8.17,1.63,10.99,2013
9,Oklahoma State,Big 12,17,10,3,10.19,6.64,16.83,42.92,17.94,-0.82,14.51,0.58,7.99,0.37,10.73,2013
10,South Carolina,SEC (East),4,11,2,7.99,8.07,16.06,40.30,15.99,0.00,15.48,0.72,8.48,0.54,11.30,2013
11,Ohio State,Big Ten (Leaders),12,12,2,10.77,4.87,15.65,47.17,20.57,-0.94,15.81,2.94,7.79,1.38,11.36,2013
12,Washington,Pac-12 (North),25,9,4,6.41,8.71,15.12,42.01,15.19,-0.46,14.15,1.08,8.52,0.59,10.68,2013
13,Clemson,ACC (Atlantic),8,11,2,9.21,5.77,14.98,43.55,18.59,-0.12,15.85,0.44,8.29,0.60,11.40,2013
14,Michigan State,Big Ten (Legends),3,13,1,1.23,13.51,14.74,31.12,12.04,-1.86,13.89,0.22,7.16,-0.45,10.02,2013
15,LSU,SEC (West),14,10,3,8.87,5.72,14.59,40.42,18.96,1.01,15.13,0.83,7.99,0.87,10.94,2013
16,Wisconsin,Big Ten (Leaders),22,9,4,2.69,11.51,14.20,37.02,13.47,-1.79,14.94,2.51,7.54,0.87,10.77,2013
17,USC,Pac-12 (South),19,10,4,4.08,9.65,13.72,34.33,14.21,-0.25,14.01,0.85,8.14,0.57,10.45,2013
18,Texas A&M,SEC (West),18,9,4,16.81,-3.43,13.38,48.38,28.34,0.50,15.94,1.23,9.42,1.46,12.13,2013
19,Oklahoma,Big 12,6,11,2,6.42,6.77,13.19,37.15,17.89,-1.21,15.13,1.21,8.36,0.36,11.10,2013
22,Georgia,SEC (East),,8,5,13.03,-0.21,12.82,43.35,23.43,0.20,16.27,0.73,7.94,0.88,11.38,2013
23,Arizona,Pac-12 (South),,8,5,5.72,6.89,12.60,37.03,18.20,-1.89,15.00,1.30,8.47,0.08,11.04,2013
24,Ole Miss,SEC (West),,8,5,4.24,6.19,10.42,33.55,17.66,-1.34,15.19,0.60,8.08,0.11,11.04,2013
25,Brigham Young,Ind,,8,5,5.85,4.38,10.23,35.75,18.72,-1.96,15.25,1.15,7.97,0.01,10.97,2013
26,Kansas State,Big 12,,8,5,6.13,3.88,10.01,34.67,20.29,0.62,14.85,0.55,8.46,0.54,11.13,2013
27,Louisville,American,15,12,1,-0.18,10.18,9.99,33.67,15.75,-0.22,15.01,0.18,7.55,0.50,10.63,2013
28,Notre Dame,Ind,20,9,4,3.00,6.51,9.50,32.48,19.00,-0.74,14.63,0.85,8.29,0.59,10.84,2013
29,UCF,American,10,12,1,6.19,2.24,8.42,35.82,22.78,0.26,15.35,0.61,8.77,0.81,11.52,2013
30,Oregon State,Pac-12 (North),,7,6,9.08,-0.97,8.11,38.54,25.35,-0.79,14.93,-0.23,9.53,0.65,11.58,2013
31,Vanderbilt,SEC (East),24,9,4,4.66,3.34,8.01,32.72,22.64,-1.29,14.82,-0.67,8.69,-0.73,11.20,2013
32,Duke,ACC (Coastal),23,10,4,6.80,1.06,7.86,36.28,23.29,-1.60,16.51,0.61,8.89,0.00,11.91,2013
33,Mississippi State,SEC (West),,7,6,-0.28,8.00,7.72,32.29,16.68,-1.52,14.98,0.70,8.42,0.02,11.16,2013
34,Texas,Big 12,,8,5,3.09,4.36,7.45,33.55,19.77,-1.60,15.05,0.35,8.41,-0.26,10.99,2013
35,Iowa,Big Ten (Legends),,8,5,-0.90,8.22,7.31,28.67,16.91,-1.64,14.67,0.26,7.78,-0.43,10.60,2013
36,Georgia Tech,ACC (Coastal),,7,6,2.01,5.19,7.21,39.02,19.61,-1.14,16.58,1.44,8.44,0.01,11.94,2013
37,Utah,Pac-12 (South),,5,7,4.51,2.45,6.96,36.74,20.16,-1.09,15.45,0.10,7.90,-0.09,11.11,2013
38,Utah State,MWC (Mountain),,9,5,-4.34,11.04,6.70,28.90,14.55,-2.90,15.59,-0.01,6.86,-0.88,10.49,2013
39,Miami (FL),ACC (Coastal),,9,4,8.33,-1.74,6.59,40.42,25.97,0.30,16.58,0.93,9.11,1.11,12.15,2013
40,Virginia Tech,ACC (Coastal),,8,5,-3.85,10.26,6.41,26.21,13.62,-1.81,14.65,-0.91,7.49,-0.91,10.41,2013
41,North Carolina,ACC (Coastal),,7,6,3.53,2.69,6.22,35.74,21.73,-1.47,15.71,-0.36,8.44,-0.37,11.30,2013
44,Michigan,Big Ten (Legends),,7,6,5.97,-0.43,5.53,36.45,25.23,-0.19,15.55,-0.53,7.93,-0.13,11.16,2013
45,Texas Tech,Big 12,,8,5,7.13,-1.81,5.32,38.47,27.07,-1.43,14.95,-0.52,9.14,0.04,11.36,2013
46,Minnesota,Big Ten (Legends),,8,5,-0.07,5.34,5.27,26.86,20.60,-1.67,15.76,0.39,8.97,-0.61,11.73,2013
47,Nebraska,Big Ten (Legends),,9,4,3.38,1.84,5.22,33.11,24.25,-2.44,15.68,0.87,8.24,-0.36,11.12,2013
48,Washington State,Pac-12 (North),,6,7,4.54,0.55,5.09,35.55,25.03,-2.11,15.86,-0.96,8.63,-0.15,11.59,2013
49,Fresno State,MWC (West),,11,2,10.17,-5.13,5.04,39.78,31.62,-1.64,16.96,0.58,8.20,0.50,11.82,2013
50,Houston,American,,8,5,2.50,2.43,4.93,34.61,23.29,-1.75,15.90,0.03,8.25,-0.14,11.36,2013
51,Bowling Green State,MAC (East),,10,4,-1.75,6.64,4.89,30.32,20.60,-0.85,15.48,-0.14,9.13,-0.19,11.63,2013
52,Florida,SEC (East),,4,8,-4.77,9.44,4.67,23.51,14.17,-2.00,14.62,-0.35,7.67,-0.96,10.62,2013
53,Indiana,Big Ten (Leaders),,5,7,13.42,-9.01,4.41,43.13,35.61,-0.93,17.31,1.49,9.68,0.85,12.81,2013
54,East Carolina,CUSA (East),,10,3,7.16,-2.87,4.30,36.93,29.81,-1.83,16.00,-0.39,8.37,-0.30,11.55,2013
55,Tennessee,SEC (East),,5,7,-0.71,5.00,4.29,30.19,22.57,-2.89,15.33,0.97,9.48,-0.48,11.83,2013
56,Navy,Ind,,9,4,1.23,3.03,4.26,30.57,23.94,-3.10,16.21,1.07,8.89,-0.70,11.73,2013
57,Boise State,MWC (Mountain),,8,5,2.27,1.62,3.88,34.89,24.06,-1.62,16.27,0.43,8.11,-0.04,11.33,2013
58,Pitt,ACC (Coastal),,7,6,3.74,-0.02,3.72,30.60,23.00,-1.03,16.28,-0.63,8.10,-0.31,11.39,2013
59,Northern Illinois,MAC (West),,12,2,8.19,-4.63,3.56,35.59,32.19,-2.11,16.69,1.59,8.83,0.31,12.02,2013
60,Penn State,Big Ten (Leaders),,7,5,0.34,3.05,3.40,29.58,23.64,-1.45,15.48,-0.18,7.60,-0.42,10.93,2013
61,Marshall,CUSA (East),,10,4,5.77,-2.69,3.07,38.13,29.47,-1.47,16.27,0.64,9.08,0.20,11.84,2013
62,North Texas,CUSA (West),,9,4,-2.50,5.55,3.05,26.99,22.00,-1.99,16.14,-0.27,8.41,-0.68,11.62,2013
63,Syracuse,ACC (Atlantic),,7,6,-3.95,6.76,2.81,27.20,23.20,-3.41,15.90,0.87,8.46,-0.77,11.63,2013
66,Ball State,MAC (West),,10,3,6.64,-4.35,2.29,33.32,32.03,-1.60,16.61,-0.15,9.68,-0.03,12.41,2013
67,Texas Christian,Big 12,,4,8,-0.67,2.61,1.94,27.73,20.24,-1.95,14.81,-0.51,7.58,-0.64,10.57,2013
68,Boston College,ACC (Atlantic),,7,6,4.48,-3.20,1.28,31.69,27.42,-1.41,17.29,1.44,8.38,0.31,12.03,2013
69,Northwestern,Big Ten (Legends),,5,7,1.75,-0.55,1.20,28.96,25.37,-1.41,16.08,0.20,8.32,-0.29,11.56,2013
70,Maryland,ACC (Atlantic),,7,6,-0.79,1.43,0.64,28.22,25.70,-1.29,16.17,-0.19,8.41,-0.24,11.51,2013
71,Cincinnati,American,,9,4,-0.68,1.09,0.41,30.52,25.25,-1.15,15.75,-0.01,8.34,-0.03,11.37,2013
72,Rice,CUSA (West),,10,4,-0.25,0.39,0.15,27.49,26.98,-2.04,16.21,-0.05,8.56,-0.88,11.54,2013
73,Wake Forest,ACC (Atlantic),,4,8,-7.10,7.10,0.00,20.65,20.94,-3.56,15.36,-1.34,7.99,-1.74,11.03,2013
74,Toledo,MAC (West),,7,5,4.76,-4.79,-0.03,31.32,31.71,-2.44,17.95,1.43,8.82,0.07,12.32,2013
75,Colorado State,MWC (Mountain),,8,6,4.61,-4.84,-0.23,32.68,30.23,-2.04,16.88,0.59,8.14,-0.09,11.83,2013
76,Western Kentucky,Sun Belt,,8,4,-0.01,-0.51,-0.52,27.46,28.51,-2.33,16.73,-0.10,9.00,-0.62,12.03,2013
77,Arkansas,SEC (West),,3,9,-3.16,1.84,-1.32,24.98,26.31,-2.96,16.32,1.44,8.93,-0.31,11.91,2013
78,Buffalo,MAC (East),,8,5,-1.75,0.27,-1.48,26.10,28.32,-2.30,16.99,-0.52,9.06,-0.97,12.16,2013
79,Arkansas State,Sun Belt,,8,5,-1.34,-0.53,-1.86,26.00,28.01,-3.20,16.53,-0.41,9.91,-1.44,12.53,2013
80,Colorado,Pac-12 (South),,4,8,0.13,-2.12,-1.99,29.27,31.22,-1.55,16.21,-0.44,9.60,-0.43,12.20,2013
81,Louisiana,Sun Belt,,9,4,1.86,-3.87,-2.01,30.02,31.79,-0.84,17.74,-0.21,9.20,-0.50,12.73,2013
82,South Alabama,Sun Belt,,6,6,1.28,-3.72,-2.44,26.76,29.64,-1.80,17.29,-0.45,9.38,-0.64,12.61,2013
83,UTSA,CUSA (West),,7,5,-3.11,0.10,-3.01,23.62,26.73,-2.31,16.09,0.49,8.18,-0.25,11.52,2013
84,Tulane,CUSA (West),,7,6,-4.37,1.15,-3.22,22.54,25.74,-3.70,16.47,-0.78,8.06,-1.65,11.55,2013
85,San Jose State,MWC (West),,6,6,5.04,-8.32,-3.28,32.55,34.59,-0.40,16.59,-0.14,9.89,0.54,12.52,2013
88,Kentucky,SEC (East),,2,10,-2.99,-0.52,-3.51,26.67,28.49,-1.69,17.02,0.24,9.41,-0.35,12.40,2013
89,Florida Atlantic,CUSA (East),,6,6,-6.44,2.91,-3.53,22.29,24.30,-2.61,14.88,-0.40,9.23,-1.01,11.34,2013
