,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
0,Oregon,Pac-12 (North),2,13,2,14.36,7.86,22.22,90.41,-24.11,14.16,2.31,8.43,1.61,10.84,1.91,2014
1,Ohio State,Big Ten (East),1,14,1,13.44,7.00,20.44,91.53,-23.00,13.41,1.71,8.79,0.85,10.58,1.32,2014
2,Alabama,SEC (West),4,12,2,9.46,10.88,20.34,87.16,-30.13,13.54,1.65,8.25,0.14,10.54,1.12,2014
3,Texas Christian,Big 12,3,12,1,11.20,7.76,18.96,91.76,-25.56,12.33,2.47,8.11,0.15,10.18,1.23,2014
4,Georgia,SEC (East),9,10,3,10.88,7.96,18.84,89.55,-26.48,12.70,1.21,9.22,1.28,10.60,1.30,2014
5,Ole Miss,SEC (West),17,9,4,0.87,15.93,16.80,77.75,-34.47,12.61,1.31,7.54,0.37,9.83,0.84,2014
6,Michigan State,Big Ten (East),5,11,2,9.76,6.31,16.07,86.82,-23.25,12.82,2.39,8.06,0.21,10.03,1.59,2014
7,Georgia Tech,ACC (Coastal),8,11,3,13.44,2.48,15.92,85.51,-21.10,13.80,3.30,9.14,1.99,10.41,2.69,2014
8,Mississippi State,SEC (West),11,10,3,8.49,6.55,15.04,85.30,-25.29,13.18,2.16,8.23,1.25,10.33,1.98,2014
9,Auburn,SEC (West),22,8,5,11.92,3.07,14.99,86.55,-23.59,13.97,2.09,8.68,1.24,10.63,1.66,2014
10,Baylor,Big 12,7,11,2,13.69,1.28,14.97,92.01,-19.39,13.27,3.28,7.37,0.50,10.06,1.85,2014
11,Arkansas,SEC (West),,7,6,4.30,10.62,14.91,81.77,-30.19,11.68,1.93,8.22,0.20,9.63,1.19,2014
12,Florida State,ACC (Atlantic),5,13,1,10.59,3.90,14.48,82.13,-20.20,12.80,2.67,7.65,1.42,10.27,2.00,2014
13,UCLA,Pac-12 (South),10,10,3,11.01,3.39,14.40,81.42,-19.66,12.26,2.03,8.02,1.30,9.86,1.73,2014
14,USC,Pac-12 (South),20,9,4,7.74,6.65,14.39,79.66,-22.10,12.53,2.21,6.86,1.20,9.46,1.74,2014
15,Arizona State,Pac-12 (South),12,10,3,10.24,3.02,13.26,81.29,-17.78,11.87,3.29,7.05,1.42,9.31,2.17,2014
16,Kansas State,Big 12,18,9,4,6.32,6.42,12.73,80.94,-24.28,13.32,2.27,6.55,1.22,9.68,1.82,2014
17,Wisconsin,Big Ten (West),13,11,3,3.21,9.49,12.70,79.62,-23.94,10.88,2.44,9.69,0.74,10.30,1.47,2014
18,Marshall,CUSA (East),23,13,1,9.23,3.33,12.55,84.78,-18.77,12.07,2.12,9.30,1.61,10.56,1.75,2014
19,Stanford,Pac-12 (North),,8,5,-2.79,15.21,12.42,70.49,-31.82,11.93,0.69,7.16,0.49,9.24,0.54,2014
22,Missouri,SEC (East),14,11,3,2.51,9.51,12.02,74.96,-27.01,10.95,1.81,7.72,0.42,9.08,1.14,2014
23,Arizona,Pac-12 (South),19,10,4,6.51,5.39,11.90,77.60,-19.51,10.95,2.86,7.18,1.60,8.97,2.14,2014
