,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
24,Clemson,ACC (Atlantic),15,10,3,-1.31,12.94,11.63,75.55,-29.98,11.80,0.72,6.36,0.03,8.81,0.37,2014
25,LSU,SEC (West),,8,5,-1.43,12.18,10.75,76.14,-31.04,12.39,0.79,7.82,1.30,9.38,1.05,2014
26,Boise State,MWC (Mountain),16,12,2,11.44,-0.86,10.58,82.44,-13.24,12.37,2.89,7.57,1.18,9.61,2.13,2014
27,Louisville,ACC (Atlantic),24,9,4,5.74,4.79,10.52,78.82,-22.75,12.27,2.06,6.90,0.65,9.33,1.37,2014
28,Nebraska,Big Ten (West),,9,4,9.43,0.83,10.26,82.86,-17.11,11.86,2.00,8.22,1.86,9.70,1.97,2014
29,Oklahoma,Big 12,,8,5,5.98,4.23,10.21,81.86,-21.02,11.22,2.58,9.08,0.62,10.01,1.72,2014
30,Texas A&M,SEC (West),,8,5,7.38,2.58,9.96,84.90,-18.25,12.35,2.30,7.76,2.24,10.09,2.28,2014
31,Utah,Pac-12 (South),21,9,4,4.76,5.08,9.84,76.44,-21.18,11.03,2.62,7.23,1.25,8.82,1.75,2014
32,Notre Dame,Ind,,8,5,8.86,-0.30,8.56,80.17,-15.08,12.48,2.97,7.43,1.54,9.86,2.22,2014
33,Tennessee,SEC (East),,7,6,3.72,4.42,8.13,77.48,-23.24,11.12,2.25,6.88,1.19,8.79,1.62,2014
34,Florida,SEC (East),,7,5,0.92,7.21,8.12,77.19,-25.92,11.18,1.45,7.37,0.23,8.92,0.90,2014
35,West Virginia,Big 12,,7,6,6.18,1.89,8.07,79.25,-21.20,12.12,1.91,7.24,1.54,9.52,1.69,2014
36,Miami (FL),ACC (Coastal),,6,7,1.26,6.78,8.04,74.20,-24.22,12.44,1.71,7.99,0.62,10.04,1.11,2014
37,Memphis,American,25,10,3,3.75,3.46,7.22,78.72,-19.86,11.18,2.40,6.87,1.04,8.71,1.76,2014
38,Minnesota,Big Ten (West),,8,5,3.41,3.32,6.74,74.50,-21.14,11.72,2.19,7.83,1.76,9.19,1.96,2014
39,Virginia Tech,ACC (Coastal),,7,6,-1.93,8.64,6.71,68.88,-26.97,10.30,2.14,6.74,0.96,8.35,1.51,2014
40,South Carolina,SEC (East),,7,6,9.39,-2.69,6.70,81.00,-16.69,12.65,2.89,7.64,2.49,10.03,2.63,2014
41,Duke,ACC (Coastal),,9,4,3.59,3.05,6.64,77.01,-19.76,10.00,2.41,7.61,1.99,8.76,2.17,2014
44,Washington,Pac-12 (North),,8,6,1.73,4.80,6.52,72.22,-20.71,11.06,3.01,6.97,1.04,8.66,1.93,2014
45,Boston College,ACC (Atlantic),,7,6,2.16,3.89,6.04,73.04,-21.74,11.45,2.78,8.36,0.78,9.44,1.84,2014
46,Colorado State,MWC (Mountain),,10,3,4.02,1.44,5.47,74.24,-15.17,13.04,2.94,7.20,2.36,10.07,2.73,2014
47,Louisiana Tech,CUSA (West),,9,5,2.56,2.90,5.46,77.81,-18.65,11.12,2.30,6.78,0.63,8.89,1.59,2014
48,Virginia,ACC (Coastal),,5,7,-0.62,5.46,4.83,71.49,-22.82,10.82,2.58,6.63,0.45,8.60,1.53,2014
49,Brigham Young,Ind,,8,5,5.58,-1.20,4.38,80.02,-14.31,11.58,2.61,7.11,0.93,9.11,1.92,2014
50,North Carolina State,ACC (Atlantic),,8,5,1.57,2.61,4.17,75.22,-16.85,11.05,2.22,8.23,1.64,9.49,1.88,2014
51,Texas,Big 12,,6,7,-4.98,8.96,3.98,66.46,-25.30,10.50,1.12,6.81,1.06,8.45,1.01,2014
52,Utah State,MWC (Mountain),,10,4,-2.91,6.54,3.63,66.76,-20.73,10.85,2.50,7.31,1.03,8.87,1.80,2014
53,Rutgers,Big Ten (East),,8,5,1.10,2.09,3.19,71.09,-16.04,12.58,3.30,7.46,2.50,9.59,2.77,2014
54,Pitt,ACC (Coastal),,6,7,3.85,-1.11,2.74,78.49,-16.10,11.99,3.14,8.41,1.79,9.74,2.42,2014
55,California,Pac-12 (North),,5,7,12.70,-10.15,2.55,83.93,-6.90,12.22,3.69,7.03,1.58,9.69,2.79,2014
56,Penn State,Big Ten (East),,7,6,-5.05,7.51,2.46,65.38,-24.12,10.34,1.70,5.97,0.24,8.15,0.94,2014
57,Cincinnati,American,,9,4,5.37,-2.95,2.42,77.69,-12.21,12.09,3.80,7.40,2.30,9.76,2.94,2014
58,East Carolina,American,,8,5,5.40,-3.06,2.35,78.05,-13.21,11.35,3.13,7.47,1.16,9.67,2.24,2014
59,Air Force,MWC (Mountain),,10,3,1.21,0.99,2.20,70.17,-15.62,12.80,3.63,6.58,1.11,8.20,2.45,2014
60,Navy,Ind,,8,5,3.34,-1.15,2.19,73.96,-15.09,12.04,2.82,8.57,2.18,9.50,2.51,2014
61,Western Kentucky,CUSA (East),,8,5,14.05,-12.06,1.99,84.11,-0.94,12.42,5.08,7.24,2.29,10.04,3.51,2014
62,UCF,American,,9,4,-0.92,2.89,1.98,70.77,-18.97,11.32,2.49,6.05,0.87,8.40,1.64,2014
63,Georgia Southern,Sun Belt,,9,3,1.62,0.28,1.89,77.03,-15.99,11.48,3.11,8.77,2.14,9.81,2.64,2014
66,Michigan,Big Ten (East),,5,7,-5.47,7.29,1.82,65.64,-23.05,10.66,2.45,7.55,0.34,8.89,1.26,2014
67,Maryland,Big Ten (East),,7,6,4.25,-2.67,1.58,76.61,-13.17,11.39,2.48,7.01,1.49,9.11,1.92,2014
68,Kentucky,SEC (East),,5,7,3.24,-1.68,1.55,78.28,-14.02,11.59,2.48,7.31,1.86,9.27,2.08,2014
69,Iowa,Big Ten (West),,7,6,-0.41,1.79,1.37,71.69,-18.31,11.34,2.85,6.81,1.40,8.88,1.99,2014
70,Oklahoma State,Big 12,,7,6,2.13,-1.03,1.10,73.44,-15.14,12.14,3.34,6.53,1.44,9.01,2.28,2014
71,Houston,American,,8,5,-0.88,1.73,0.85,70.42,-17.89,10.16,2.85,7.45,1.58,8.75,2.10,2014
72,Northwestern,Big Ten (West),,5,7,-3.03,3.83,0.80,67.52,-19.31,9.97,2.48,6.43,1.32,8.10,1.82,2014
73,North Carolina,ACC (Coastal),,6,7,10.00,-9.86,0.14,80.65,-6.25,11.53,4.17,7.06,2.22,9.22,2.95,2014
74,Rice,CUSA (West),,8,5,-0.04,-0.24,-0.28,68.99,-12.32,12.15,3.71,6.25,1.90,8.61,2.75,2014
75,UAB,CUSA (East),,6,6,3.05,-3.35,-0.30,74.88,-13.90,11.99,3.16,6.76,1.84,8.66,2.39,2014
76,Nevada,MWC (West),,7,6,0.61,-0.99,-0.38,69.82,-14.24,9.76,2.95,7.45,2.53,8.41,2.75,2014
77,Northern Illinois,MAC (West),,11,3,-0.13,-0.94,-1.06,71.30,-13.00,10.59,3.40,7.65,1.81,8.79,2.49,2014
78,Oregon State,Pac-12 (North),,5,7,0.11,-1.53,-1.42,70.63,-14.14,11.15,2.52,6.72,2.23,9.05,2.34,2014
79,Washington State,Pac-12 (North),,3,9,6.86,-8.40,-1.54,78.06,-8.32,11.72,3.75,4.82,1.40,9.62,2.65,2014
80,Louisiana,Sun Belt,,9,4,-1.60,0.03,-1.57,69.37,-14.66,10.78,3.96,7.67,1.87,9.02,2.89,2014
81,Toledo,MAC (West),,9,4,5.09,-6.88,-1.79,75.28,-8.77,11.29,4.23,8.16,1.20,9.50,2.83,2014
82,Western Michigan,MAC (West),,8,5,0.69,-2.48,-1.79,72.75,-12.50,12.75,3.39,6.98,1.97,9.45,2.71,2014
83,San Diego State,MWC (West),,7,6,-7.67,5.57,-2.10,62.62,-20.52,9.94,2.74,7.63,1.38,8.67,1.94,2014
84,Temple,American,,6,6,-8.65,6.42,-2.23,65.37,-22.75,9.91,2.42,6.35,1.46,8.13,1.77,2014
85,Illinois,Big Ten (West),,6,7,0.75,-3.28,-2.53,70.98,-11.86,11.24,3.62,6.77,2.16,9.03,2.62,2014
88,UTEP,CUSA (West),,7,6,-4.82,1.64,-3.18,64.40,-13.35,9.95,3.72,7.07,2.83,8.17,3.07,2014
89,Middle Tennessee State,CUSA (East),,6,6,0.64,-4.15,-3.52,72.25,-12.16,11.43,3.63,7.32,1.79,9.02,2.64,2014
90,Texas Tech,Big 12,,4,8,6.75,-10.31,-3.56,77.59,-5.68,11.92,3.48,8.23,2.52,10.24,2.78,2014
91,Colorado,Pac-12 (South),,2,10,2.91,-6.54,-3.63,72.53,-7.96,10.32,2.92,6.91,3.12,8.63,2.99,2014
92,Arkansas State,Sun Belt,,7,6,3.01,-6.97,-3.96,76.43,-8.79,11.26,3.12,7.29,2.48,9.08,2.61,2014
93,Syracuse,ACC (Atlantic),,3,9,-8.71,3.88,-4.84,63.00,-20.99,10.22,2.95,7.22,0.79,8.58,1.59,2014
94,Indiana,Big Ten (East),,4,8,-0.32,-5.00,-5.32,70.15,-11.25,9.81,2.81,9.05,2.14,9.39,2.56,2014
95,Fresno State,MWC (West),,6,8,-2.71,-2.81,-5.52,67.37,-9.30,9.73,4.86,6.99,2.01,8.27,3.11,2014
96,Central Michigan,MAC (West),,7,6,-4.45,-1.39,-5.84,65.35,-13.46,11.65,3.54,6.52,1.32,8.77,2.45,2014
97,Old Dominion,CUSA (East),,6,6,5.37,-11.46,-6.10,72.79,-3.22,11.42,4.36,7.40,2.55,9.55,3.08,2014
98,Purdue,Big Ten (West),,3,9,-2.50,-3.83,-6.33,68.29,-13.48,9.37,2.56,7.63,1.58,8.40,2.01,2014
99,Texas State,Sun Belt,,7,5,-1.76,-4.67,-6.43,70.69,-11.22,10.48,3.30,7.25,2.48,8.72,2.75,2014
100,Appalachian State,Sun Belt,,7,5,-1.16,-5.41,-6.56,74.58,-10.37,11.53,3.24,7.63,1.94,9.23,2.51,2014
101,Bowling Green State,MAC (East),,8,6,-0.59,-6.07,-6.66,69.21,-6.07,10.12,3.38,6.95,2.35,8.49,2.82,2014
102,Wyoming,MWC (Mountain),,4,8,-5.44,-1.26,-6.69,62.97,-9.90,11.14,4.08,6.72,2.52,8.66,3.21,2014
103,Kansas,Big 12,,3,9,-8.27,1.42,-6.86,63.33,-14.55,10.78,2.83,6.16,2.63,8.20,2.67,2014
104,Florida International,CUSA (East),,4,8,-7.40,0.44,-6.95,63.98,-17.74,10.04,3.09,5.72,1.50,7.52,2.18,2014
105,Vanderbilt,SEC (East),,3,9,-6.74,-0.23,-6.97,64.59,-13.84,10.59,3.08,6.44,1.60,8.38,2.09,2014
106,South Alabama,Sun Belt,,6,7,-8.40,0.77,-7.63,60.74,-15.33,9.80,3.14,6.33,1.82,7.90,2.31,2014
107,Wake Forest,ACC (Atlantic),,3,9,-8.50,0.86,-7.64,62.21,-15.70,9.97,2.50,4.36,1.78,7.09,2.00,2014
110,New Mexico,MWC (Mountain),,4,8,0.78,-8.58,-7.80,67.97,-2.72,10.56,4.55,8.83,3.45,9.45,3.86,2014
111,Ball State,MAC (West),,5,7,-3.14,-5.22,-8.35,65.92,-11.61,9.79,3.35,6.61,2.38,8.08,2.85,2014
112,UTSA,CUSA (West),,4,8,-11.19,2.57,-8.62,56.70,-15.03,9.45,3.60,5.68,1.25,7.37,2.26,2014
113,Iowa State,Big 12,,2,10,-2.63,-6.01,-8.64,68.62,-8.91,10.06,2.89,6.82,2.89,8.48,2.87,2014
114,Hawaii,MWC (West),,4,9,-6.35,-2.73,-9.08,61.78,-11.90,9.73,3.89,6.04,1.83,7.76,2.67,2014
115,Akron,MAC (East),,5,7,-9.20,-0.03,-9.23,61.48,-14.72,9.33,3.16,6.57,1.74,8.08,2.31,2014
116,Buffalo,MAC (East),,5,6,-0.20,-9.14,-9.34,70.50,-6.45,11.28,4.63,6.92,2.06,8.88,2.93,2014
117,San Jose State,MWC (West),,3,9,-8.81,-0.67,-9.49,61.76,-10.89,10.50,1.88,6.23,2.60,8.31,2.29,2014
118,Florida Atlantic,CUSA (East),,3,9,-6.06,-3.62,-9.68,63.80,-9.44,10.08,2.91,6.98,2.95,8.40,2.95,2014
119,Ohio,MAC (East),,6,6,-9.37,-0.42,-9.79,59.12,-14.91,10.10,3.41,6.59,1.48,8.24,2.46,2014
120,Louisiana-Monroe,Sun Belt,,4,8,-9.52,-0.30,-9.82,59.85,-15.96,10.21,2.86,4.36,1.84,7.65,2.17,2014
121,South Florida,American,,4,8,-9.83,-1.07,-10.90,58.62,-15.07,10.35,3.63,6.21,1.94,8.22,2.54,2014
122,Southern Mississippi,CUSA (West),,3,9,-7.17,-3.74,-10.91,62.60,-9.14,10.71,3.45,5.92,2.71,8.43,3.11,2014
123,Tulane,American,,3,9,-11.50,0.12,-11.38,59.26,-14.81,9.35,3.32,6.83,1.68,8.04,2.43,2014
124,North Texas,CUSA (West),,4,8,-5.24,-6.67,-11.91,68.53,-7.05,10.13,3.59,6.40,2.20,8.00,2.85,2014
125,Massachusetts,MAC (East),,3,9,-2.70,-9.91,-12.61,66.13,-3.71,11.20,3.76,5.90,2.45,8.78,2.98,2014
126,Army,Ind,,4,8,-4.11,-8.84,-12.95,65.90,-6.31,10.87,3.87,8.01,3.23,8.77,3.62,2014
127,Kent State,MAC (East),,2,9,-12.84,-0.20,-13.04,56.35,-10.31,9.53,3.59,5.87,2.27,7.90,2.70,2014
128,Miami (OH),MAC (East),,2,10,-6.00,-7.99,-13.99,63.11,-7.37,10.76,3.29,6.14,2.61,8.68,2.84,2014
129,Troy,Sun Belt,,3,9,-8.84,-5.82,-14.67,61.58,-4.98,10.45,3.64,6.45,3.31,8.27,3.31,2014
132,Tulsa,American,,2,10,-1.82,-13.41,-15.23,67.57,-0.18,10.55,5.31,6.41,3.07,8.42,3.96,2014
133,Connecticut,American,,2,10,-12.13,-3.60,-15.72,57.25,-10.98,9.75,2.75,6.06,1.86,7.73,2.22,2014
134,Nevada-Las Vegas,MWC (West),,2,11,-4.53,-11.66,-16.18,63.81,-1.35,10.51,4.98,6.24,3.00,8.36,3.65,2014
135,SMU,American,,1,11,-16.87,-1.30,-18.17,53.59,-4.01,8.54,4.62,6.18,2.81,7.36,3.34,2014
136,New Mexico State,Sun Belt,,2,10,-6.08,-12.40,-18.48,63.08,-0.18,9.89,3.26,6.46,3.85,8.16,3.48,2014
137,Idaho,Sun Belt,,1,10,-4.93,-14.74,-19.67,64.51,-0.51,10.56,5.88,5.73,3.26,8.12,3.98,2014
138,Eastern Michigan,MAC (West),,2,10,-14.75,-5.07,-19.82,55.40,-1.15,9.29,4.72,6.42,2.72,7.60,3.49,2014
139,Georgia State,Sun Belt,,1,11,-5.55,-14.87,-20.41,63.84,2.44,11.40,3.24,5.49,3.74,8.54,3.56,2014
