,Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,year
0,902,133,V,SoMississippi,3,3,0,7,13,48,46.5,400,22.5,2010
1,902,134,H,SouthCarolina,7,17,10,7,41,13.5,13,-500,5,2010
2,902,135,V,Marshall,7,0,0,0,7,47,46.5,2750,20.5,2010
3,902,136,H,OhioState,21,14,7,3,45,28.5,28,-5500,10.5,2010
4,902,137,V,NoIllinois,0,0,3,7,10,47,51,165,23.5,2010
5,902,138,H,IowaState,7,10,0,10,27,3,4,-190,pk,2010
6,902,139,V,PittsburghU,0,7,3,14,24,50,48,140,23.5,2010
7,902,140,H,Utah,0,14,3,7,27,3.5,3.5,-160,pk,2010
8,902,141,V,USC,14,13,15,7,49,19,20.5,-975,10,2010
9,902,142,H,Hawaii,3,13,7,13,36,53.5,51,752,29.5,2010
10,902,143,V,MinnesotaU,7,7,0,10,24,52.5,1,-130,27,2010
11,902,144,H,MiddleTennSt,0,14,3,0,17,4.5,51,110,2,2010
12,902,145,V,FloridaAtlantic,0,12,14,6,32,54.5,49,425,24,2010
13,902,146,H,UAB,14,7,7,3,31,12.5,13,-550,5,2010
14,902,301,V,Presbyterian,0,7,6,0,13,NL,NL,NL,NL,2010
15,902,302,H,WakeForest,21,14,2,16,53,44.5,44.5,NL,NL,2010
16,902,303,V,FloridaA&M,0,0,0,0,0,NL,NL,NL,NL,2010
17,902,304,H,MiamiFlorida,14,21,7,3,45,40.5,41,NL,NL,2010
18,902,305,V,SEMissouriSt,7,0,0,3,10,NL,NL,NL,NL,2010
19,902,306,H,BallState,7,0,17,3,27,27,25,NL,NL,2010
20,902,307,V,Hampton,0,0,0,0,0,NL,NL,NL,NL,2010
21,902,308,H,CentralMichigan,16,7,3,7,33,32,32,NL,NL,2010
22,902,309,V,RhodeIsland,0,0,0,0,0,NL,NL,NL,NL,2010
23,902,310,H,BuffaloU,3,21,7,0,31,21,24,NL,NL,2010
24,902,311,V,MurraySt,7,3,0,0,10,NL,NL,NL,NL,2010
25,902,312,H,KentState,17,7,10,7,41,28,30,NL,NL,2010
26,902,313,V,Towson,0,14,0,3,17,NL,NL,NL,NL,2010
27,902,314,H,Indiana,17,21,10,3,51,28.5,29.5,NL,NL,2010
28,902,315,V,NorfolkSt,0,0,0,0,0,NL,NL,NL,NL,2010
29,902,316,H,Rutgers,3,3,15,10,31,38.5,38.5,NL,NL,2010
30,902,317,V,SELouisiana,7,0,7,7,21,NL,NL,NL,NL,2010
