,Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,year
0,826,291,N,OregonState,10,10,0,7.0,27,62,60,140,0.5,2017
1,826,292,N,ColoradoState,7,17,10,24.0,58,3.5,3,-160,32.5,2017
2,826,293,V,Hawaii,7,7,7,17.0,38,63,59,125,29,2017
3,826,294,H,Massachusetts,7,7,14,7.0,35,1.5,3,-145,0.5,2017
4,826,295,V,SouthFlorida,0,28,7,7.0,42,19,21,-1800,11,2017
5,826,296,H,SanJoseState,16,0,0,6.0,22,64.5,69,980,31.5,2017
6,826,297,V,Rice,0,0,0,7.0,7,52.5,51,NL,21.5,2017
7,826,298,H,Stanford,21,17,14,10.0,62,31.5,29.5,NL,11.5,2017
8,826,299,V,PortlandSt,0,6,0,0.0,6,59,61,NL,28.5,2017
9,826,300,H,BYU,7,7,0,6.0,20,34,37.5,NL,17,2017
10,831,133,V,OhioState,3,10,22,14.0,49,21,20.5,-2000,10.5,2017
11,831,134,H,Indiana,7,7,7,0.0,21,52,55.5,1041,28.5,2017
12,831,135,V,BuffaloU,7,0,0,0.0,7,53,52.5,1123,26.5,2017
13,831,136,H,MinnesotaU,14,0,0,3.0,17,26.5,21.5,-1800,10,2017
14,831,137,V,ULMonroe,7,0,7,15.0,29,67,61.5,1769,28,2017
15,831,138,H,Memphis,7,13,17,0.0,37,27,28,-4000,13.5,2017
16,831,139,V,NewMexicoState,0,13,0,18.0,31,70,69,1807,35,2017
17,831,140,H,ArizonaState,14,0,16,7.0,37,25,26.5,-4190,13.5,2017
18,831,169,V,FloridaIntl,7,3,7,0.0,17,56,56,588,27,2017
19,831,170,H,CentralFlorida,14,26,14,7.0,61,17,17,-850,7,2017
20,831,199,V,Tulsa,0,17,0,7.0,24,70.5,70.5,980,34.5,2017
21,831,200,H,OklahomaState,21,17,14,7.0,59,17,19.5,-1800,9.5,2017
22,831,215,V,Presbyterian,0,0,0,7.0,7,44.5,54,NL,NL,2017
23,831,216,H,WakeForest,16,21,14,0.0,51,44,41.5,NL,NL,2017
24,831,217,V,AustinPeay,0,7,0,7.0,14,58.5,58.5,NL,NL,2017
25,831,218,H,CincinnatiU,0,14,6,6.0,26,46.5,43,NL,NL,2017
26,831,219,V,TennesseeSt,3,7,7,0.0,17,54,55,NL,NL,2017
27,831,220,H,GeorgiaState,0,3,0,7.0,10,15.5,15,NL,NL,2017
28,831,221,V,Elon,0,7,0,6.0,13,55,55,NL,NL,2017
29,831,222,H,Toledo,13,6,21,7.0,47,42,44.5,NL,NL,2017
30,831,223,V,RhodeIsland,0,0,7,14.0,27,56,57,NL,NL,2017
31,831,224,H,CentralMichigan,0,13,0,8.0,30,32.5,34,NL,NL,2017
32,831,225,V,HolyCross,3,17,0,0.0,20,49.5,60,NL,NL,2017
33,831,226,H,Connecticut,7,0,7,13.0,27,23,22,NL,NL,2017
34,831,227,V,NorthDakota,3,6,0,7.0,16,50.5,60,NL,NL,2017
35,831,228,H,Utah,0,17,10,10.0,37,22,20.5,NL,NL,2017
36,831,229,V,FloridaA&M,0,0,0,7.0,7,61,61,NL,NL,2017
37,831,230,H,Arkansas,7,14,14,14.0,49,54,46.5,NL,NL,2017
38,831,231,V,SacramentoSt,0,6,0,0.0,6,NL,NL,NL,NL,2017
39,831,232,H,Idaho,0,14,7,7.0,28,NL,NL,NL,NL,2017
40,901,141,V,Charlotte,7,0,0,0.0,7,58,59,367,27.5,2017
41,901,142,H,EasternMichigan,14,3,7,0.0,24,12.5,13.5,-475,6.5,2017
42,901,143,V,WashingtonU,3,7,10,10.0,30,31,28,NL,11.5,2017
43,901,144,H,Rutgers,7,0,0,7.0,14,58.5,55,NL,24.5,2017
44,901,145,V,Navy,7,14,14,7.0,42,14.5,8.5,-335,4.5,2017
45,901,146,H,FloridaAtlantic,3,7,3,6.0,19,68,64.5,271,30.5,2017
46,901,147,V,UtahState,10,0,0,0.0,10,49,51.5,NL,24,2017
47,901,148,H,Wisconsin,0,10,28,21.0,59,29,27,NL,14.5,2017
48,901,149,V,BostonCollege,3,10,7,3.0,23,1.5,3.5,-170,1.5,2017
49,901,150,H,NoIllinois,3,7,7,3.0,20,49.5,46.5,150,23.5,2017
50,901,151,V,ColoradoState,0,3,0,0.0,3,66.5,68.5,130,31,2017
51,901,152,H,Colorado,10,7,0,0.0,17,8,3,-150,0.5,2017
52,901,233,V,Fordham,0,6,0,0.0,6,68.5,66,NL,NL,2017
53,901,234,H,Army,21,13,17,13.0,64,20.5,18.5,NL,NL,2017
54,901,235,V,CentralConn.,0,0,7,0.0,7,68.5,70.5,NL,NL,2017
55,901,236,H,Syracuse,21,10,13,6.0,50,46.5,46,NL,NL,2017
56,902,153,V,BowlingGreen,3,0,0,7.0,10,56.5,56,614,24.5,2017
57,902,154,H,MichiganState,0,14,21,0.0,35,20,17,-900,7.5,2017
58,902,155,V,Wyoming,0,3,0,0.0,3,53.5,51.5,306,23,2017
59,902,156,H,Iowa,0,14,7,3.0,24,13.5,11.5,-385,5.5,2017
60,902,157,V,MiamiOhio,3,10,7,6.0,26,51.5,4,-185,3.5,2017
61,902,158,H,Marshall,7,14,7,3.0,31,1,48.5,165,23.5,2017
62,902,159,V,KentState,0,3,0,0.0,3,51.5,52,NL,23,2017
63,902,160,H,Clemson,21,7,21,7.0,56,38,37.5,NL,14.5,2017
64,902,161,V,Massachusetts,7,7,7,7.0,28,59,3,-160,3,2017
65,902,162,H,CoastalCarolina,14,7,10,7.0,38,3,57,140,28,2017
66,902,163,V,Akron,0,0,0,0.0,0,63.5,62,NL,24.5,2017
67,902,164,H,PennState,14,21,10,7.0,52,33,30,NL,14,2017
68,902,165,V,Louisville,7,3,15,10.0,35,26.5,25.5,-2700,11.5,2017
69,902,166,H,Purdue,7,7,7,7.0,28,69.5,66,1442,31.5,2017
70,902,167,V,ArkansasState,14,12,0,10.0,36,46.5,51.5,477,28,2017
71,902,168,H,Nebraska,17,10,7,9.0,43,16.5,14.5,-650,7.5,2017
72,902,171,V,Nevada,7,10,0,3.0,20,51.5,60,1164,29.5,2017
73,902,172,H,Northwestern,7,0,10,14.0,31,23,24,-1900,13,2017
74,902,173,V,BallState,7,0,14,0.0,21,59.5,55.5,173,24.5,2017
75,902,174,H,Illinois,6,10,0,8.0,24,8.5,4.5,-207,0.5,2017
76,902,175,V,UTEP,7,0,0,0.0,7,66,64,NL,26.5,2017
77,902,176,H,Oklahoma,14,21,14,7.0,56,45.5,41.5,NL,16,2017
78,902,177,V,California,7,7,7,14.0,35,66,57,410,30,2017
79,902,178,H,NorthCarolina,7,10,7,6.0,30,12.5,13,-540,4.5,2017
80,902,179,V,SouthAlabama,0,10,3,14.0,27,59,59.5,876,28,2017
81,902,180,H,Mississippi,10,3,27,7.0,47,27,21.5,-1500,10.5,2017
82,902,181,V,WesternMichigan,7,7,7,10.0,31,55.5,59.5,NL,29,2017
83,902,182,H,USC,7,7,7,28.0,49,23.5,28,NL,13.5,2017
84,902,185,V,Maryland,14,16,7,14.0,51,55.5,59.5,664,31,2017
85,902,186,H,Texas,7,7,20,7.0,41,16.5,19,-1000,10.5,2017
86,902,187,V,Temple,3,7,0,6.0,16,54,55.5,876,29.5,2017
87,902,188,H,NotreDame,21,7,7,14.0,49,15,20,-1500,8,2017
88,902,189,V,GeorgiaSouthern,7,0,0,0.0,7,52,58,NL,27,2017
89,902,190,H,Auburn,10,14,10,7.0,41,35,34.5,NL,16.5,2017
90,902,191,V,AppalachianSt,0,0,0,10.0,10,45.5,46.5,330,21.5,2017
91,902,192,H,Georgia,7,14,10,0.0,31,13.5,11.5,-420,6.5,2017
92,902,193,V,Kentucky,0,14,10,0.0,24,10,9.5,-340,3.5,2017
93,902,194,H,SouthernMiss,0,3,7,7.0,17,60,57,274,26.5,2017
94,902,197,V,SouthCarolina,14,7,14,0.0,35,49.5,49.5,267,27.5,2017
95,902,198,H,NCState,14,7,0,7.0,28,4.5,8,-330,6,2017
96,902,201,V,Michigan,10,3,13,7.0,33,5,3.5,-195,6.5,2017
97,902,202,H,Florida,3,14,0,0.0,17,45,46,166,22.5,2017
98,902,203,V,Vanderbilt,14,7,7,0.0,28,5.5,2.5,-140,pk,2017
99,902,204,H,MiddleTennSt,0,0,0,6.0,6,59.5,58.5,120,24.5,2017
100,902,205,V,FloridaState,0,7,0,0.0,7,50.5,50.5,267,24.5,2017
101,902,206,H,Alabama,3,7,11,3.0,24,7.5,7.5,-330,3.5,2017
102,902,207,V,Troy,3,7,0,3.0,13,57,58,334,27.5,2017
103,902,208,H,BoiseState,7,10,0,7.0,24,12.5,11,-425,6.5,2017
104,902,237,V,MissouriSt,21,14,0,8.0,43,NL,NL,NL,NL,2017
105,902,238,H,Missouri,20,28,10,14.0,72,35.5,36.5,NL,NL,2017
106,902,239,V,BethuneCookman,3,3,7,0.0,13,NL,NL,NL,NL,2017
107,902,240,H,MiamiFlorida,3,21,14,3.0,41,50,47.5,NL,NL,2017
108,902,241,V,YoungstownSt,0,0,7,14.0,21,NL,NL,NL,NL,2017
109,902,242,H,PittsburghU,14,7,0,0.0,28,14,13.5,NL,NL,2017
110,902,243,V,PortlandSt,6,0,20,6.0,32,NL,NL,NL,NL,2017
111,902,244,H,OregonState,7,7,14,7.0,35,26,26.5,NL,NL,2017
112,902,245,V,VMI,0,0,0,0.0,0,NL,NL,NL,NL,2017
113,902,246,H,AirForce,14,21,14,13.0,62,28,34.5,NL,NL,2017
114,902,247,V,William&Mary,0,0,3,7.0,10,NL,NL,NL,NL,2017
115,902,248,H,Virginia,7,7,7,7.0,28,20.5,28,NL,NL,2017
116,902,249,V,AlabamaA&M,0,7,0,0.0,7,NL,NL,NL,NL,2017
117,902,250,H,UAB,7,3,14,14.0,38,28,27.5,NL,NL,2017
118,902,251,V,StonyBrook,7,3,0,7.0,17,NL,NL,NL,NL,2017
119,902,252,H,SouthFlorida,7,0,10,14.0,31,35,36,NL,NL,2017
120,902,253,V,EastWashington,0,10,0,0.0,10,NL,NL,NL,NL,2017
121,902,254,H,TexasTech,7,21,21,7.0,56,7,12.5,NL,NL,2017
