,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
26,Appalachian State,Sun Belt,,10,3,-0.86,9.68,8.83,70.76,-25.81,11.91,0.77,9.79,0.20,10.15,1.05,2016
27,Texas A&M,SEC (West),,8,5,5.40,3.37,8.77,84.98,-23.89,12.69,1.54,10.28,-0.10,10.89,1.10,2016
28,Western Kentucky,CUSA (East),,11,3,6.84,1.84,8.68,88.81,-20.99,14.91,1.88,9.58,-1.18,11.72,0.96,2016
29,Minnesota,Big Ten (West),,9,4,4.00,4.65,8.65,76.61,-23.84,12.24,1.05,8.37,-0.74,9.40,0.74,2016
30,Utah,Pac-12 (South),23,9,4,3.31,5.35,8.65,75.34,-23.91,12.57,1.66,8.97,-0.15,10.02,1.33,2016
31,North Carolina,ACC (Coastal),,8,5,6.18,2.07,8.25,82.25,-22.65,13.90,1.48,9.41,0.14,11.18,1.02,2016
32,Pitt,ACC (Coastal),,8,5,15.30,-7.17,8.12,90.73,-13.83,14.39,1.90,9.86,-0.49,11.12,1.53,2016
33,Kansas State,Big 12,,9,4,1.70,6.39,8.09,78.76,-26.78,11.92,1.72,9.27,-0.37,9.99,1.26,2016
34,Boise State,MWC (Mountain),,10,3,2.87,5.14,8.01,76.66,-22.18,14.42,0.97,8.65,-0.05,10.73,1.09,2016
35,South Florida,American (East),19,11,2,14.00,-6.16,7.83,90.21,-13.30,13.61,1.70,10.71,0.64,11.41,1.70,2016
36,Nebraska,Big Ten (West),,9,4,-0.90,8.45,7.55,73.76,-23.01,12.37,1.42,8.42,0.34,9.65,1.45,2016
37,North Carolina State,ACC (Atlantic),,7,6,0.69,6.81,7.49,76.44,-26.50,13.38,1.07,8.66,-0.95,10.31,0.65,2016
38,Georgia Tech,ACC (Coastal),,9,4,3.28,3.85,7.13,78.04,-23.59,16.22,1.37,10.13,0.53,11.07,1.50,2016
39,Tulsa,American (West),,10,3,11.07,-4.16,6.91,88.48,-14.89,13.20,1.41,9.24,0.65,10.40,1.57,2016
40,Iowa,Big Ten (West),,8,5,-0.51,7.31,6.81,74.25,-26.71,12.12,1.29,8.89,0.14,9.72,1.15,2016
41,Brigham Young,Ind,,9,4,0.11,6.39,6.50,74.98,-25.58,11.59,2.08,9.03,-0.70,9.64,1.20,2016
44,San Diego State,MWC (West),25,11,3,-0.89,6.86,5.97,76.05,-23.78,12.83,1.54,9.49,-0.88,10.17,0.83,2016
45,Northwestern,Big Ten (West),,7,6,0.48,4.98,5.46,75.16,-25.48,12.02,1.59,8.47,-0.35,9.64,1.26,2016
46,Houston,American (West),,9,4,2.50,2.94,5.44,81.31,-23.49,12.76,1.14,7.63,-1.15,9.55,0.62,2016
47,Toledo,MAC (West),,9,4,7.20,-2.26,4.94,82.66,-16.13,14.99,2.07,9.17,1.02,11.26,1.98,2016
48,Ole Miss,SEC (West),,5,7,9.15,-4.41,4.74,85.25,-16.11,13.67,1.72,8.98,0.61,10.81,1.55,2016
49,Arkansas,SEC (West),,7,6,4.06,0.29,4.35,80.66,-19.15,14.29,2.15,8.88,1.42,10.76,2.19,2016
50,Notre Dame,Ind,,4,8,5.46,-1.19,4.27,81.03,-19.06,13.22,1.65,8.93,-0.17,10.42,1.03,2016
51,Troy,Sun Belt,,10,3,1.63,2.48,4.10,77.30,-19.54,11.94,1.66,8.63,-0.13,9.73,1.29,2016
52,Air Force,MWC (Mountain),,10,3,4.96,-0.87,4.09,78.16,-16.88,16.76,2.99,8.93,-0.75,9.96,1.70,2016
53,Georgia,SEC (East),,8,5,0.35,3.29,3.64,74.16,-23.70,12.25,1.18,9.00,-0.44,9.93,0.78,2016
54,Navy,American (West),,9,5,6.88,-3.29,3.59,83.60,-17.30,16.82,2.87,10.25,0.48,11.12,2.08,2016
55,Louisiana Tech,CUSA (West),,9,5,10.05,-6.66,3.39,85.74,-13.23,13.96,2.19,9.06,-0.22,11.31,1.41,2016
56,Vanderbilt,SEC (East),,6,7,-2.05,5.26,3.21,72.09,-25.37,12.08,1.10,8.80,0.10,9.74,1.22,2016
57,Baylor,Big 12,,7,6,2.67,0.34,3.01,80.58,-19.34,12.85,1.46,8.95,0.28,10.24,0.98,2016
58,Memphis,American (West),,8,5,3.28,-0.32,2.96,83.82,-19.42,13.64,0.88,8.57,0.87,10.53,1.47,2016
59,Texas Christian,Big 12,,6,7,1.88,0.74,2.63,77.84,-21.25,12.39,1.35,9.15,0.27,10.30,1.03,2016
60,UCLA,Pac-12 (South),,4,8,-0.86,3.49,2.63,71.93,-21.05,12.64,0.63,7.08,-0.36,9.63,0.55,2016
61,Colorado State,MWC (Mountain),,7,6,5.18,-2.66,2.52,80.23,-14.18,14.07,3.02,9.63,0.78,10.87,2.16,2016
62,California,Pac-12 (North),,5,7,12.42,-10.00,2.42,85.02,-5.51,12.47,1.98,8.76,1.94,10.28,2.35,2016
63,Kentucky,SEC (East),,7,6,4.33,-2.03,2.30,78.92,-17.15,13.40,1.93,9.96,0.64,10.78,1.63,2016
66,Texas,Big 12,,5,7,3.16,-1.41,1.75,77.22,-18.59,12.95,1.91,8.65,0.06,10.08,1.08,2016
67,Mississippi State,SEC (West),,6,7,5.19,-3.51,1.68,80.98,-15.50,12.21,2.11,10.28,0.32,10.63,1.77,2016
68,Oregon State,Pac-12 (North),,4,8,0.50,1.02,1.53,74.16,-18.20,11.67,0.73,9.55,1.19,9.97,1.40,2016
69,Indiana,Big Ten (East),,6,7,2.15,-0.77,1.38,74.18,-18.48,13.27,1.92,8.00,-0.35,9.88,1.09,2016
70,Wyoming,MWC (Mountain),,8,6,9.04,-7.68,1.37,81.23,-10.56,13.59,2.84,8.94,0.89,10.19,2.45,2016
71,Texas Tech,Big 12,,5,7,12.46,-11.12,1.34,90.62,-6.00,13.89,2.68,7.31,1.68,10.80,2.55,2016
72,Old Dominion,CUSA (East),,10,3,3.52,-2.41,1.11,77.74,-14.75,12.92,2.27,9.32,0.12,10.38,1.48,2016
73,Wake Forest,ACC (Atlantic),,7,6,-4.32,5.04,0.73,69.97,-25.31,11.62,1.66,8.30,-0.38,9.11,1.12,2016
74,Oregon,Pac-12 (North),,4,8,11.12,-10.42,0.70,84.15,-7.00,13.58,1.99,9.71,1.62,10.90,2.22,2016
75,Boston College,ACC (Atlantic),,7,6,-7.00,7.58,0.58,68.72,-21.37,11.76,1.31,7.90,-0.84,8.80,0.77,2016
76,Maryland,Big Ten (East),,6,7,-1.82,1.89,0.07,74.00,-16.62,12.43,1.98,9.36,0.93,10.14,1.80,2016
77,UCF,American (East),,6,7,-1.67,1.66,-0.01,75.39,-21.11,11.54,0.84,7.76,-0.13,8.98,0.73,2016
78,Arkansas State,Sun Belt,,8,5,-3.46,2.90,-0.56,70.41,-20.29,13.06,1.90,7.41,-0.12,9.39,1.29,2016
79,South Carolina,SEC (East),,6,7,-5.88,4.97,-0.91,68.17,-23.26,12.51,1.17,7.91,0.25,9.49,1.04,2016
80,Idaho,Sun Belt,,9,4,1.16,-2.35,-1.19,73.47,-11.77,12.58,3.33,7.87,0.42,9.56,2.39,2016
81,New Mexico,MWC (Mountain),,9,4,5.26,-6.47,-1.21,77.47,-10.77,12.43,3.09,10.33,0.81,10.53,2.43,2016
82,Duke,ACC (Coastal),,4,8,-3.03,1.67,-1.36,73.35,-21.42,12.19,3.04,8.62,0.01,9.73,1.82,2016
83,Michigan State,Big Ten (East),,3,9,-1.21,-0.58,-1.79,74.72,-20.21,12.90,2.22,9.02,-0.10,10.24,1.38,2016
84,Ohio,MAC (East),,8,6,-3.34,1.35,-1.99,68.13,-20.10,11.90,2.12,8.19,-0.79,9.43,1.16,2016
85,Army,Ind,,8,5,-7.31,4.90,-2.41,74.12,-23.18,12.56,1.24,9.72,-0.21,9.85,1.20,2016
88,Missouri,SEC (East),,4,8,0.19,-2.69,-2.50,81.02,-15.49,13.64,1.51,9.29,0.80,10.83,1.59,2016
89,Arizona State,Pac-12 (South),,5,7,5.89,-8.49,-2.60,79.22,-10.25,12.84,3.23,7.46,0.95,9.47,2.68,2016
90,Southern Mississippi,CUSA (West),,7,6,-0.02,-3.71,-3.73,76.44,-13.62,12.89,2.61,8.54,0.42,10.09,1.76,2016
91,UTSA,CUSA (West),,6,7,-3.47,-0.45,-3.92,69.76,-18.30,11.78,2.36,7.97,-0.08,9.13,1.45,2016
92,Eastern Michigan,MAC (West),,7,6,-1.73,-2.57,-4.30,72.43,-14.63,12.34,2.17,8.41,0.27,9.85,1.71,2016
93,Northern Illinois,MAC (West),,5,7,-0.94,-3.45,-4.39,73.18,-14.63,11.68,1.94,9.25,0.40,9.77,1.60,2016
94,Georgia Southern,Sun Belt,,5,7,-3.04,-1.36,-4.40,71.25,-16.79,12.30,2.40,8.43,0.74,9.28,2.07,2016
95,Iowa State,Big 12,,3,9,-3.46,-0.97,-4.43,74.74,-17.62,13.19,1.58,8.27,0.99,10.15,1.55,2016
96,Syracuse,ACC (Atlantic),,4,8,0.08,-4.59,-4.51,75.51,-11.90,13.17,3.11,8.12,1.07,10.15,2.47,2016
97,Arizona,Pac-12 (South),,3,9,1.01,-5.64,-4.63,74.42,-9.08,12.63,2.44,9.95,0.65,10.50,1.89,2016
98,SMU,American (West),,5,7,-1.42,-3.42,-4.84,73.53,-13.21,12.46,1.50,8.20,0.79,9.74,1.68,2016
99,Middle Tennessee State,CUSA (East),,8,5,6.22,-11.74,-5.53,81.06,-7.31,12.32,1.83,10.10,0.51,10.82,1.48,2016
100,Central Michigan,MAC (West),,6,7,-4.70,-0.90,-5.60,70.47,-15.00,12.79,1.72,7.79,0.55,9.86,1.60,2016
101,South Alabama,Sun Belt,,6,7,-2.84,-2.96,-5.80,68.61,-15.72,12.54,2.08,8.26,1.00,9.69,1.91,2016
102,Utah State,MWC (Mountain),,3,9,-4.63,-1.35,-5.99,69.88,-15.63,11.42,0.97,9.29,0.21,9.75,1.07,2016
103,Louisiana,Sun Belt,,6,7,-5.43,-0.75,-6.18,66.55,-16.05,11.73,2.51,7.93,-0.26,8.92,1.59,2016
104,Hawaii,MWC (West),,7,7,-1.79,-4.65,-6.44,70.46,-7.94,12.28,2.68,8.80,1.05,9.96,2.23,2016
105,Akron,MAC (East),,5,7,-0.40,-6.12,-6.52,72.64,-8.13,12.79,2.38,8.38,1.08,10.08,2.13,2016
106,Tulane,American (West),,4,8,-5.62,-0.92,-6.54,70.55,-17.87,10.68,1.70,9.04,0.40,9.12,1.50,2016
107,Miami (OH),MAC (East),,6,7,-6.06,-0.73,-6.79,66.38,-18.02,13.40,1.82,7.94,0.03,9.77,1.27,2016
110,Rutgers,Big Ten (East),,2,10,-9.42,2.45,-6.97,66.15,-11.73,10.72,2.11,8.17,1.28,8.76,2.03,2016
111,Illinois,Big Ten (West),,3,9,-5.92,-1.83,-7.75,69.69,-15.34,11.39,1.97,9.18,0.61,9.72,1.49,2016
112,Virginia,ACC (Coastal),,2,10,-4.34,-3.91,-8.25,70.74,-14.82,11.42,2.55,8.07,0.35,9.27,1.83,2016
113,Purdue,Big Ten (West),,3,9,0.20,-9.16,-8.96,73.85,-5.94,11.81,2.68,7.56,1.32,9.47,2.25,2016
114,Ball State,MAC (West),,4,8,-3.50,-5.61,-9.11,69.48,-12.18,11.30,2.62,9.01,0.68,9.59,2.31,2016
115,Kent State,MAC (East),,3,9,-7.19,-1.93,-9.12,65.93,-15.88,11.03,1.31,8.68,0.22,9.13,1.07,2016
116,Cincinnati,American (East),,4,8,-9.46,0.29,-9.17,65.20,-20.05,12.28,1.88,7.86,0.26,9.57,1.28,2016
117,Georgia State,Sun Belt,,3,9,-8.20,-1.17,-9.37,64.06,-15.49,11.98,0.64,7.25,0.60,9.22,1.21,2016
118,East Carolina,American (East),,3,9,-2.71,-6.98,-9.69,74.88,-10.41,12.91,2.23,8.33,1.44,10.29,2.29,2016
119,Nevada,MWC (West),,5,7,-6.49,-3.21,-9.70,65.95,-13.44,11.97,3.13,8.28,2.05,9.42,2.74,2016
120,San Jose State,MWC (West),,4,8,-4.71,-5.31,-10.03,68.20,-9.83,12.30,2.96,7.93,1.31,9.33,2.38,2016
121,Nevada-Las Vegas,MWC (West),,4,8,0.93,-10.98,-10.05,74.74,-5.79,11.60,1.99,9.51,0.96,9.86,1.89,2016
122,North Texas,CUSA (West),,5,8,-4.76,-5.57,-10.33,68.88,-12.56,11.06,2.24,8.39,1.15,9.21,1.94,2016
123,Bowling Green State,MAC (East),,4,8,-5.14,-5.44,-10.58,69.10,-5.90,11.44,3.50,8.47,0.45,9.36,2.18,2016
124,Kansas,Big 12,,2,10,-9.16,-1.49,-10.65,67.96,-12.97,11.68,1.43,7.66,1.14,9.27,1.48,2016
125,Massachusetts,Ind,,2,10,-3.73,-8.21,-11.94,69.50,-8.61,12.38,3.09,7.71,0.65,9.66,2.18,2016
126,Louisiana-Monroe,Sun Belt,,4,8,-4.42,-7.55,-11.97,68.45,-3.85,11.50,2.88,8.37,1.92,9.15,2.72,2016
127,Charlotte,CUSA (East),,4,8,-6.50,-6.01,-12.51,67.25,-9.88,10.19,2.51,8.54,0.10,8.89,1.94,2016
128,Florida International,CUSA (East),,4,8,-6.88,-5.94,-12.82,65.06,-10.01,11.49,2.76,8.42,1.13,9.44,2.19,2016
129,New Mexico State,Sun Belt,,3,9,-4.52,-8.36,-12.88,68.52,-3.72,11.31,3.52,8.51,1.32,9.35,2.69,2016
132,Connecticut,American (East),,3,9,-13.01,-0.30,-13.30,60.84,-17.71,11.71,2.29,7.68,0.03,9.06,1.73,2016
133,UTEP,CUSA (West),,4,8,-6.45,-6.88,-13.33,67.46,-8.17,11.18,2.43,9.41,1.27,9.81,2.20,2016
134,Marshall,CUSA (East),,3,9,-9.24,-4.36,-13.59,67.37,-11.84,11.45,2.96,7.50,0.55,9.04,2.00,2016
135,Rice,CUSA (West),,3,9,-3.89,-9.78,-13.67,69.15,-7.38,11.23,5.28,8.50,1.23,9.27,3.33,2016
136,Fresno State,MWC (West),,1,11,-12.31,-1.94,-14.26,60.61,-14.40,11.30,1.79,7.09,0.70,8.58,1.56,2016
137,Florida Atlantic,CUSA (East),,3,9,-4.18,-10.42,-14.60,69.14,-4.45,11.67,4.35,9.04,1.22,9.67,2.81,2016
138,Buffalo,MAC (East),,2,10,-11.82,-6.42,-18.24,60.55,-8.93,11.10,2.81,8.48,1.13,9.20,2.14,2016
139,Texas State,Sun Belt,,2,10,-9.60,-9.26,-18.86,63.00,-0.99,11.47,3.09,6.52,1.36,8.36,2.47,2016
