,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
0,Alabama,SEC (West),2,14,1,8.01,17.62,25.62,90.38,-38.83,13.45,-0.10,10.38,-2.81,11.13,-0.85,2016
1,Clemson,ACC (Atlantic),1,14,1,9.40,10.68,20.08,91.53,-32.15,13.88,-0.18,9.32,-0.79,11.01,0.18,2016
2,Washington,Pac-12 (North),4,12,2,7.59,12.39,19.98,88.28,-30.64,14.32,0.46,9.40,-0.63,11.02,0.34,2016
3,Ohio State,Big Ten (East),6,11,2,3.69,15.13,18.82,88.76,-34.26,12.41,-0.15,9.94,-0.71,10.47,0.10,2016
4,Michigan,Big Ten (East),10,10,3,4.71,12.85,17.56,90.05,-32.85,13.18,0.34,9.31,-0.98,10.43,0.05,2016
5,USC,Pac-12 (South),3,10,3,7.71,9.56,17.27,82.56,-25.78,13.59,1.07,9.66,-0.26,10.98,0.91,2016
6,LSU,SEC (West),13,8,4,2.68,13.25,15.93,79.60,-36.08,13.41,0.64,10.82,-1.46,11.37,0.03,2016
7,Penn State,Big Ten (East),7,11,3,11.63,4.09,15.72,87.46,-22.37,15.08,1.14,9.15,-0.37,11.17,0.90,2016
8,Wisconsin,Big Ten (West),9,11,3,2.13,13.17,15.30,78.74,-32.10,13.54,1.15,8.81,-0.90,9.99,0.69,2016
9,Florida State,ACC (Atlantic),8,10,3,9.49,5.52,15.01,86.38,-26.13,14.07,1.34,9.88,-0.71,11.22,0.73,2016
10,Oklahoma,Big 12,5,11,2,14.64,0.34,14.98,92.54,-20.59,16.42,1.58,9.57,0.50,11.98,1.51,2016
11,Miami (FL),ACC (Coastal),20,9,4,3.39,9.96,13.36,82.99,-29.58,13.75,0.37,9.03,-0.98,10.82,0.28,2016
12,Stanford,Pac-12 (North),12,10,3,0.01,12.54,12.54,73.09,-29.29,12.22,1.18,9.33,-0.15,10.03,0.92,2016
13,Colorado,Pac-12 (South),17,10,4,2.32,9.86,12.18,79.41,-28.17,13.12,0.03,8.33,-0.20,9.90,0.39,2016
14,Western Michigan,MAC (West),15,13,1,7.61,4.42,12.03,86.24,-22.05,14.49,2.21,9.21,0.77,10.73,1.93,2016
15,Auburn,SEC (West),24,8,5,-1.04,13.02,11.97,81.80,-33.41,13.42,0.59,10.02,-0.87,10.69,0.42,2016
16,Louisville,ACC (Atlantic),21,9,4,8.81,3.06,11.87,92.04,-22.20,14.05,1.41,10.77,-0.95,11.68,0.60,2016
17,Oklahoma State,Big 12,11,10,3,8.39,2.77,11.16,85.39,-23.07,14.64,1.79,8.66,0.59,11.08,1.46,2016
18,Virginia Tech,ACC (Coastal),16,10,4,4.26,6.74,11.00,82.68,-26.80,13.57,0.47,8.37,-0.51,10.02,0.45,2016
19,Florida,SEC (East),14,9,4,-2.62,13.60,10.98,74.40,-31.15,12.53,0.28,8.16,-0.70,9.71,0.14,2016
22,Tennessee,SEC (East),22,9,4,11.58,-0.99,10.59,88.42,-17.67,14.16,1.64,9.88,0.66,11.19,1.58,2016
23,West Virginia,Big 12,18,10,3,4.01,5.56,9.57,78.75,-26.00,13.69,1.20,9.33,0.18,10.77,1.04,2016
24,Washington State,Pac-12 (North),,8,5,5.70,3.33,9.03,84.22,-21.44,12.72,2.45,8.50,0.07,10.41,1.82,2016
25,Temple,American (East),,10,4,2.00,6.96,8.97,78.15,-26.73,13.67,0.92,8.60,-0.50,10.19,0.61,2016
