4288,1
5732,0
2419,1
5231,1
2019,1
4756,1
1421,0
2143,0
4958,1
225,1
5874,0
6713,1
1726,0
595,0
2233,0
4260,1
6689,0
6394,1
4850,1
4605,0
2633,1
4474,1
3559,1
2536,1
3156,1
6433,0
6580,1
4167,0
6782,1
3263,1
649,1
3006,1
1445,1
3068,1
418,0
6537,0
6302,0
3959,0
667,0
3576,1
5096,0
6191,0
6658,1
377,0
4904,0
2842,1
572,1
4635,0
3105,1
6412,1
6801,0
741,1
1926,1
6503,0
6262,1
6086,0
2181,1
2540,0
1996,1
1877,1
5717,0
2247,0
3507,0
76,0
4434,0
602,0
6345,0
2323,0
4097,1
6382,1
746,1
4725,1
4090,0
4177,0
2957,0
3258,1
974,1
4205,1
2132,0
5756,0
6475,0
4139,0
1372,0
2794,0
679,0
2079,0
1527,0
109,0
6037,0
3950,0
732,1
4688,1
1992,0
5406,1
2808,1
1622,1
4000,0
3718,0
384,1
4381,0
849,0
4895,0
3577,0
3026,1
4927,0
2650,1
6501,1
2681,1
2915,1
5019,1
6325,1
5073,1
6767,0
2553,1
3197,1
3840,1
2313,0
6450,1
6058,0
1645,1
2271,0
799,1
5768,1
2102,0
4536,0
620,0
1209,1
2224,0
6798,0
2900,1
4185,0
5484,0
2635,1
3857,0
1954,1
4999,0
1183,0
164,0
6156,0
775,1
334,0
1286,0
5052,0
1145,1
1595,1
1404,1
5502,1
3841,0
87,0
2254,1
5806,1
916,1
4669,0
2329,1
1771,1
3962,1
3056,0
3298,1
4816,0
5276,1
4974,0
1017,1
2027,1
4454,1
6327,0
1454,0
6717,0
3996,1
5579,1
353,0
4610,1
1572,1
1389,0
3733,1
6397,1
3188,1
5223,1
6444,1
4105,0
2830,1
4740,1
4044,0
1650,1
6223,0
370,1
4990,0
671,1
6022,1
5666,0
5215,1
6419,1
1732,0
4273,1
1937,1
3630,1
1661,0
3655,1
924,0
5239,1
188,0
6499,1
2141,0
5465,0
4654,0
2535,0
3136,0
1172,1
6578,0
3759,0
1626,1
5583,1
4711,0
1853,0
3418,0
2396,1
5581,1
902,1
2317,0
5898,1
2988,0
968,1
5005,1
3888,0
4677,1
5356,0
1277,1
5275,0
4807,0
3690,1
547,0
2745,1
2821,0
5499,1
6100,0
2811,0
284,0
6055,0
1526,1
1117,1
3540,1
5162,1
232,0
1052,0
3659,1
4928,0
390,1
3986,1
4839,1
574,1
4908,0
5226,0
4048,0
1432,1
628,0
553,1
6230,1
3707,1
559,0
953,0
4026,1
172,0
4046,1
1844,0
4113,0
624,0
3145,0
3943,1
5784,1
6789,0
1604,0
1228,1
1420,0
6351,0
2087,0
1754,1
5232,0
1297,1
2338,0
6564,1
5821,0
3261,0
2675,1
2103,0
467,1
4753,0
5815,1
340,1
4056,0
4268,0
2042,1
3127,0
6209,0
335,1
5777,1
641,0
4806,1
724,1
5517,0
625,1
4473,0
1869,1
5233,0
3220,1
2638,0
6459,0
5719,1
4911,1
3586,1
6087,0
6308,0
2120,1
3999,0
3951,1
666,1
396,1
1739,0
3421,1
4953,1
5875,1
4180,0
2286,0
6396,0
5176,0
3234,1
1901,0
1340,1
3925,0
5448,1
3170,0
3580,0
5366,0
998,0
5051,0
374,0
2097,1
2331,0
453,0
6754,0
2076,0
759,0
5349,0
1488,0
6490,0
2805,1
426,1
2235,1
2248,1
4045,0
3812,0
4033,1
4712,1
1313,0
4765,0
1438,1
1216,1
5436,1
4555,1
4345,1
3075,0
3886,0
2075,0
5289,1
1981,0
3817,0
6413,1
3889,0
3801,0
177,1
6425,0
2142,0
5852,0
1842,0
4656,0
4198,0
5718,1
3676,0
1019,1
5675,0
5242,1
607,0
6198,1
1265,0
6625,0
181,0
5016,1
5372,1
4884,0
1264,0
2169,0
4032,0
3773,1
3266,1
2532,0
4067,0
1148,0
2749,0
5358,1
4697,1
5797,0
5543,0
4367,1
736,0
2039,1
358,0
3200,1
6161,1
6371,1
5725,0
4176,1
6091,0
1866,1
1807,0
2153,1
214,0
1935,1
4991,1
2682,1
3483,1
5415,1
305,1
3045,1
6057,0
1160,1
2063,1
4337,1
379,1
249,1
3426,0
1666,0
6533,0
4516,0
238,0
2388,1
5148,0
1365,1
3407,1
3423,0
4147,0
1218,0
2934,0
2766,0
5644,0
1317,0
806,0
6376,0
1287,1
272,1
3046,1
3640,0
5385,1
6518,0
90,0
4137,1
6231,0
3781,1
6365,1
3302,0
1745,1
2165,1
85,0
5824,1
539,0
4490,1
2939,1
3470,1
713,0
3642,0
4415,1
3519,1
6099,1
4542,0
1202,0
3,0
4266,1
4980,0
6239,0
3125,1
2775,0
3874,0
2943,1
6288,0
5418,1
5006,0
695,0
794,0
1532,0
5129,1
2149,0
4984,1
2442,0
4285,1
247,0
2817,0
1593,1
4824,0
6150,0
3750,0
5078,0
2179,0
2392,1
826,1
3898,1
