,Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,year
0,903,133,N,SouthCarolina,0,10,0,7,17,1,1.5,-121,NL,2015
1,903,134,N,NorthCarolina,7,6,0,0,13,63.5,62,101,31.5,2015
2,903,135,V,FloridaIntl,3,0,6,6,15,47,44.5,335,21,2015
3,903,136,H,CentralFlorida,7,7,0,0,14,16.5,11,-415,3.5,2015
4,903,137,V,OklahomaState,3,7,7,7,24,19,21,-1200,9,2015
5,903,138,H,CentralMichigan,3,3,7,0,13,56,57.5,800,26.5,2015
6,903,139,V,Michigan,0,3,7,7,17,46.5,44,180,21,2015
7,903,140,H,Utah,3,7,7,7,24,4.5,5,-210,0.5,2015
8,903,141,V,TCU,10,0,10,3,23,14,16,-725,7.5,2015
9,903,142,H,MinnesotaU,0,3,7,7,17,58.5,57.5,525,26,2015
10,903,143,V,Duke,3,10,3,21,37,11,5.5,-240,2,2015
11,903,144,H,Tulane,0,0,0,7,7,48,52,200,24.5,2015
12,903,145,V,Ohio,21,7,3,14,45,10,6.5,-250,0.5,2015
13,903,146,H,Idaho,3,10,0,15,28,54.5,57,210,28.5,2015
14,903,147,V,TexSanAntonio,0,20,6,6,32,54,59,NL,32,2015
15,903,148,H,ArizonaU,14,7,14,7,42,32,33.5,NL,14,2015
16,903,149,V,Colorado,0,14,3,3,20,8,7,-276,NL,2015
17,903,150,H,Hawaii,8,10,7,3,28,57.5,60.5,220,NL,2015
18,903,211,V,WesternKentucky,0,0,7,7,14,66.5,2,-130,NL,2015
19,903,212,H,Vanderbilt,0,3,0,9,12,2.5,60,110,26.5,2015
20,903,301,V,Elon,0,0,3,0,3,NL,NL,NL,NL,2015
21,903,302,H,WakeForest,3,21,14,3,41,27,27,NL,NL,2015
22,903,303,V,VMI,0,10,7,19,36,NL,NL,NL,NL,2015
23,903,304,H,BallState,3,17,14,14,48,30,34,NL,NL,2015
24,903,307,V,AlcornSt,0,0,6,0,6,NL,NL,NL,NL,2015
25,903,308,H,GeorgiaTech,34,14,14,7,69,40,41,NL,NL,2015
26,903,309,V,Villanova,0,9,0,6,15,6,6.5,-270,NL,2015
27,903,310,H,Connecticut,6,0,7,7,20,NL,NL,230,NL,2015
28,903,311,V,SouthernUtah,6,3,0,0,9,NL,NL,NL,NL,2015
29,903,312,H,UtahState,5,0,0,7,12,30,32,NL,NL,2015
30,903,313,V,UCDavis,0,3,0,14,17,NL,NL,NL,NL,2015
31,903,314,H,Nevada,7,14,3,7,31,22.5,24,NL,NL,2015
32,903,315,V,NewHampshire,0,7,0,6,13,NL,NL,250,NL,2015
33,903,316,H,SanJoseState,20,6,10,7,43,2,7,-300,NL,2015
34,903,317,V,AbileneChristian,7,0,0,6,13,NL,NL,NL,NL,2015
35,903,318,H,FresnoState,14,7,10,3,34,19.5,21,NL,NL,2015
36,904,151,V,Baylor,28,0,14,14,56,34,37,NL,16,2015
37,904,152,H,SMU,14,7,0,0,21,73.5,69.5,NL,36.5,2015
38,904,153,V,Charlotte,13,7,3,0,23,73,68,250,31,2015
39,904,154,H,GeorgiaState,0,3,3,14,20,4.5,7,-310,5.5,2015
40,904,155,V,MichiganState,20,7,7,3,37,18.5,16.5,-900,7.5,2015
41,904,156,H,WesternMichigan,7,3,7,7,24,60,55.5,600,25.5,2015
42,904,159,V,WashingtonU,0,0,10,3,13,57.5,53,380,23,2015
43,904,160,H,BoiseState,6,10,0,0,16,10.5,13,-475,7,2015
44,904,319,V,Fordham,14,13,2,8,37,NL,NL,NL,NL,2015
45,904,320,H,Army,14,7,8,6,35,5.5,14,NL,NL,2015
46,904,321,V,RhodeIsland,0,0,0,0,0,NL,NL,NL,NL,2015
47,904,322,H,Syracuse,14,17,9,7,47,33.5,33.5,NL,NL,2015
48,904,323,V,WeberSt,0,0,7,0,7,NL,NL,NL,NL,2015
49,904,324,H,OregonState,0,6,7,13,26,28,28,NL,NL,2015
50,905,161,V,OldDominion,7,3,21,7,38,7,7,-260,3,2015
51,905,162,H,EasternMichigan,14,3,14,3,34,66.5,59.5,210,29.5,2015
52,905,163,V,NewMexicoState,0,13,0,0,13,57.5,54,6125,27,2015
53,905,164,H,Florida,7,27,13,14,61,36,34,-15625,14,2015
54,905,165,V,PennState,10,0,0,0,10,6,7,-260,3,2015
55,905,166,H,Temple,0,7,10,10,27,38.5,54.5,220,21,2015
56,905,167,V,FloridaAtlantic,7,10,21,3,44,62,68,165,34.5,2015
57,905,168,H,Tulsa,14,7,7,13,47,6,4.5,-190,0.5,2015
58,905,169,V,Virginia,3,6,0,7,16,54,52,725,25.5,2015
59,905,170,H,UCLA,7,10,14,3,34,17,17.5,-975,9,2015
60,905,171,V,Stanford,3,0,0,3,6,12,10,-395,5.5,2015
61,905,172,H,Northwestern,3,7,0,6,16,45,48,315,23,2015
62,905,173,N,Louisville,0,0,10,14,24,58,54,355,24,2015
63,905,174,N,Auburn,7,10,7,7,31,10.5,10.5,-445,3.5,2015
64,905,175,N,ArizonaState,0,7,7,3,17,66,65,140,0.5,2015
65,905,176,N,TexasA&M,7,7,3,21,38,3,3,-160,28.5,2015
66,905,177,V,BYU,7,17,0,9,33,65,57.5,185,31,2015
67,905,178,H,Nebraska,14,0,14,0,28,6,5,-215,3.5,2015
68,905,179,V,Troy,7,7,7,0,21,59.5,61.5,1440,30.5,2015
