,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
101,UTSA,CUSA (West),,6,5,-8.71,2.92,-5.78,55.70,-14.83,10.07,3.91,6.62,2.07,8.46,2.37,2017
102,Miami (OH),MAC (East),,5,7,-4.57,-1.47,-6.04,59.31,-10.08,10.54,3.77,6.08,2.62,8.52,2.73,2017
103,Baylor,Big 12,,1,11,-0.59,-5.88,-6.47,66.59,-6.82,11.15,4.16,6.15,2.67,9.05,2.94,2017
104,Middle Tennessee State,CUSA (East),,7,6,-4.64,-1.84,-6.48,58.96,-8.19,10.14,3.97,6.18,1.76,8.56,2.33,2017
105,Florida International,CUSA (East),,8,5,-2.84,-3.90,-6.75,60.62,-5.06,10.68,4.47,6.33,2.77,8.66,3.17,2017
106,Tulsa,American (West),,2,10,0.22,-7.68,-7.46,65.09,-2.01,10.13,5.99,7.22,3.43,8.55,4.07,2017
107,Illinois,Big Ten (West),,2,10,-6.84,-1.03,-7.87,56.56,-7.90,10.03,3.76,5.88,2.70,8.08,2.66,2017
110,Nevada-Las Vegas,MWC (West),,5,7,0.94,-8.86,-7.92,65.37,-3.12,10.71,4.34,7.84,3.12,9.34,3.28,2017
111,Brigham Young,Ind,,4,9,-9.89,1.83,-8.06,54.55,-13.33,9.57,3.96,6.59,1.43,8.41,2.11,2017
112,UAB,CUSA (West),,8,5,-3.08,-5.00,-8.08,59.90,-5.65,9.67,3.70,6.53,2.66,8.24,2.75,2017
113,New Mexico State,Sun Belt,,7,6,0.39,-9.07,-8.69,63.16,-2.27,9.96,3.93,6.09,2.34,8.76,2.72,2017
114,Nevada,MWC (West),,3,9,-1.58,-7.67,-9.25,64.98,-4.23,10.53,5.11,6.39,2.17,8.91,2.91,2017
115,Massachusetts,Ind,,4,8,1.75,-11.11,-9.36,66.64,-1.58,11.15,3.92,6.05,2.74,9.02,2.94,2017
116,Cincinnati,American (East),,4,8,-5.45,-4.14,-9.59,57.92,-6.29,8.90,4.37,6.68,2.30,8.13,2.84,2017
117,New Mexico,MWC (Mountain),,3,9,-7.64,-2.73,-10.38,57.66,-6.43,9.47,4.20,7.50,2.38,8.61,3.03,2017
118,Georgia State,Sun Belt,,7,5,-9.21,-1.46,-10.66,54.42,-7.64,10.66,4.30,5.31,2.43,8.27,3.04,2017
119,Louisiana-Monroe,Sun Belt,,4,8,6.34,-17.22,-10.88,70.42,6.75,11.95,6.19,6.89,3.75,9.57,4.37,2017
120,Western Kentucky,CUSA (East),,6,7,-3.54,-7.45,-10.99,58.56,-3.72,10.67,4.34,3.91,2.65,8.18,2.95,2017
121,Idaho,Sun Belt,,4,8,-11.24,-0.11,-11.35,53.09,-10.04,10.04,3.82,5.31,2.21,7.82,2.48,2017
122,South Alabama,Sun Belt,,4,8,-13.54,1.83,-11.71,52.62,-10.34,9.86,3.99,5.05,2.36,7.87,2.75,2017
123,Connecticut,American (East),,3,9,-5.15,-7.14,-12.29,59.06,-3.39,10.76,5.00,5.78,2.62,8.41,3.52,2017
124,Kansas,Big 12,,1,11,-7.24,-5.11,-12.35,59.90,-1.00,9.72,4.92,5.79,1.93,8.09,2.77,2017
125,East Carolina,American (East),,3,9,-1.43,-10.94,-12.37,64.16,6.61,10.35,6.96,5.78,3.75,8.61,4.63,2017
126,Bowling Green State,MAC (East),,2,10,-1.02,-12.09,-13.11,64.17,2.99,10.19,4.82,6.78,3.83,8.73,3.80,2017
127,Oregon State,Pac-12 (North),,1,11,-4.65,-8.92,-13.57,60.94,1.07,10.39,4.25,6.26,3.06,8.52,3.06,2017
128,Hawaii,MWC (West),,3,9,-5.99,-7.77,-13.76,58.59,-1.78,10.04,5.61,7.01,3.17,8.87,3.67,2017
129,Old Dominion,CUSA (East),,5,7,-8.57,-5.38,-13.95,55.15,-2.97,8.76,4.35,6.48,2.81,7.87,2.89,2017
132,Louisiana,Sun Belt,,5,7,-2.62,-12.89,-15.51,61.14,5.22,9.63,5.17,6.86,3.52,8.50,3.68,2017
133,Georgia Southern,Sun Belt,,2,10,-10.57,-6.26,-16.83,56.67,-3.13,10.15,5.08,6.50,3.42,7.91,3.65,2017
134,Coastal Carolina,Sun Belt,,3,9,-7.50,-9.70,-17.20,57.02,0.07,10.34,5.09,6.26,2.54,8.31,3.19,2017
135,Kent State,MAC (East),,2,10,-14.75,-2.92,-17.66,50.59,-3.48,9.77,4.46,5.92,3.21,7.60,3.21,2017
136,Rice,CUSA (West),,1,11,-11.72,-6.65,-18.37,52.60,2.16,10.30,5.78,6.64,2.77,8.36,3.60,2017
137,San Jose State,MWC (West),,2,11,-10.41,-7.98,-18.40,54.99,5.37,9.70,4.50,5.78,3.20,7.95,3.15,2017
138,Ball State,MAC (West),,2,10,-11.28,-7.99,-19.27,53.92,6.48,8.60,5.71,5.92,3.60,7.51,3.93,2017
139,Texas State,Sun Belt,,2,10,-12.88,-6.44,-19.31,51.91,-0.39,9.61,5.77,5.44,1.95,7.69,3.30,2017
140,Charlotte,CUSA (East),,1,11,-14.14,-6.11,-20.25,49.97,-0.73,8.53,5.00,6.95,3.05,7.99,3.35,2017
141,UTEP,CUSA (West),,0,12,-18.77,-4.98,-23.75,45.73,0.00,8.03,4.17,5.31,3.18,6.97,3.01,2017
