,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,ScoringOff,ScoringDef,PassingOff,PassingDef,RushingOff,RushingDef,TotalOff,TotalDef,season_year
0,Wisconsin,Big Ten (West),7,13,1,8.27,14.34,22.61,76.04,-26.02,12.42,2.49,7.72,0.69,9.75,1.23,2017
1,Georgia,SEC (East),2,13,2,9.97,12.50,22.47,79.54,-27.03,13.13,1.41,8.59,0.80,10.52,0.88,2017
2,Ohio State,Big Ten (East),5,12,2,9.81,12.01,21.82,83.21,-22.97,12.34,2.40,8.25,0.28,10.30,0.98,2017
3,Penn State,Big Ten (East),8,11,2,11.03,10.59,21.62,83.95,-23.09,12.29,2.74,7.66,1.29,10.16,1.72,2017
4,Alabama,SEC (West),1,13,1,4.67,16.58,21.25,80.58,-30.46,12.53,1.18,8.51,0.12,10.39,0.34,2017
5,Clemson,ACC (Atlantic),4,12,2,5.99,14.63,20.62,78.57,-29.25,11.25,1.67,7.66,0.31,9.55,0.67,2017
6,Notre Dame,Ind,11,10,3,10.24,9.17,19.41,79.00,-20.33,10.59,2.07,9.07,1.18,10.00,1.44,2017
7,Oklahoma,Big 12,3,12,2,17.63,1.42,19.05,87.70,-14.87,15.55,3.53,8.39,2.10,11.88,2.43,2017
8,Auburn,SEC (West),10,10,4,5.78,12.17,17.95,75.74,-26.85,12.55,1.29,7.49,0.68,9.78,0.73,2017
9,UCF,American (East),6,13,0,14.05,2.85,16.90,83.79,-14.57,13.31,3.81,7.47,1.85,10.44,2.58,2017
10,Washington,Pac-12 (North),16,10,3,5.38,10.84,16.22,76.29,-24.29,12.29,2.40,7.36,0.78,9.86,1.11,2017
11,Miami (FL),ACC (Coastal),13,10,3,7.05,7.94,14.98,73.83,-21.41,11.47,2.65,7.88,0.94,9.93,1.45,2017
12,Texas Christian,Big 12,9,11,3,2.41,12.30,14.71,72.78,-26.08,11.43,2.75,7.00,0.52,9.30,1.20,2017
13,Iowa,Big Ten (West),,8,5,5.84,8.83,14.66,72.80,-20.99,10.98,2.40,6.59,1.87,8.76,1.88,2017
14,Michigan State,Big Ten (East),15,10,3,2.27,11.56,13.83,66.57,-22.67,10.81,2.94,6.65,0.81,8.76,1.66,2017
15,Michigan,Big Ten (East),,8,5,3.85,9.59,13.44,68.56,-21.55,10.36,2.39,7.18,0.91,8.77,1.32,2017
16,Oklahoma State,Big 12,14,10,3,15.09,-2.00,13.09,86.56,-10.99,13.49,3.64,7.30,1.57,10.67,2.18,2017
17,USC,Pac-12 (South),12,11,3,7.47,4.91,12.37,72.85,-16.55,12.52,3.23,7.17,1.87,10.03,2.10,2017
18,North Carolina State,ACC (Atlantic),23,9,4,8.62,3.54,12.17,75.49,-17.44,11.41,3.39,7.46,1.24,9.63,2.08,2017
19,Mississippi State,SEC (West),19,9,4,2.48,9.37,11.85,73.62,-21.50,10.20,2.86,7.86,1.05,9.15,1.43,2017
22,LSU,SEC (West),18,9,4,2.88,8.90,11.77,69.28,-22.59,12.93,2.68,7.57,1.19,9.90,1.56,2017
23,Wake Forest,ACC (Atlantic),,8,5,10.47,0.95,11.42,78.88,-15.37,12.62,3.19,7.39,1.45,10.01,2.05,2017
24,Northwestern,Big Ten (West),17,10,3,2.92,8.44,11.36,70.46,-19.67,10.37,3.07,6.63,0.93,8.64,1.86,2017
25,Stanford,Pac-12 (North),20,9,5,5.73,5.11,10.84,73.23,-18.32,11.18,3.64,8.53,2.29,10.06,2.48,2017
26,Virginia Tech,ACC (Coastal),24,9,4,-2.54,13.10,10.56,68.60,-26.67,11.22,3.78,6.29,0.98,8.73,1.82,2017
27,Iowa State,Big 12,,8,5,1.93,7.84,9.77,69.45,-22.79,11.16,3.11,6.00,1.42,8.93,1.84,2017
28,Purdue,Big Ten (West),,7,6,0.93,8.82,9.74,65.84,-21.79,10.57,3.52,6.92,0.85,9.00,1.85,2017
29,Louisville,ACC (Atlantic),,8,5,10.53,-0.85,9.67,81.12,-13.21,12.40,4.18,9.16,1.67,10.98,2.40,2017
30,Boston College,ACC (Atlantic),,7,6,2.09,7.30,9.39,69.29,-19.97,9.95,2.46,7.53,2.30,8.76,1.99,2017
31,Boise State,MWC (Mountain),22,11,3,6.86,1.80,8.67,71.98,-14.03,11.82,3.00,6.35,1.18,9.19,1.73,2017
32,Memphis,American (West),25,10,3,12.29,-3.77,8.52,80.74,-8.29,11.50,3.44,7.61,2.02,9.90,2.40,2017
33,Texas,Big 12,,7,6,-0.31,8.52,8.21,67.66,-22.56,10.40,2.92,6.06,0.65,8.48,1.43,2017
34,Florida State,ACC (Atlantic),,7,6,-0.49,8.56,8.07,70.53,-22.63,11.23,1.92,7.18,0.89,9.24,1.10,2017
35,Florida Atlantic,CUSA (East),,11,3,6.72,1.29,8.01,75.88,-11.88,11.26,3.19,8.20,2.21,9.75,2.34,2017
36,South Carolina,SEC (East),,9,4,-0.35,8.13,7.77,65.48,-21.15,11.13,2.70,6.62,1.21,9.10,1.65,2017
37,South Florida,American (East),21,10,2,6.97,0.31,7.27,72.27,-11.92,10.94,3.20,6.95,1.44,8.82,1.97,2017
38,Duke,ACC (Coastal),,7,6,0.46,6.77,7.23,69.39,-20.37,9.74,3.67,6.81,1.63,8.41,2.04,2017
39,Washington State,Pac-12 (North),,9,4,3.04,3.58,6.62,70.34,-15.19,10.50,2.37,5.41,1.89,9.03,1.68,2017
40,Georgia Tech,ACC (Coastal),,5,6,6.17,0.21,6.38,73.48,-15.33,12.00,2.89,8.27,2.12,9.51,2.20,2017
41,Kansas State,Big 12,,8,5,3.16,2.68,5.84,71.16,-16.56,12.02,3.52,7.38,1.49,9.47,2.27,2017
44,Navy,American (West),,7,6,3.06,2.63,5.69,68.21,-14.78,13.18,5.12,7.66,1.78,8.91,2.93,2017
45,Utah,Pac-12 (South),,7,6,1.10,3.97,5.07,67.88,-17.85,11.40,2.11,6.24,1.71,8.96,1.54,2017
46,San Diego State,MWC (West),,10,3,0.24,4.81,5.05,66.62,-16.70,10.71,3.71,7.83,1.31,9.20,1.98,2017
47,West Virginia,Big 12,,7,6,7.77,-2.93,4.84,75.52,-10.90,11.86,3.53,6.93,2.88,9.72,2.66,2017
48,Indiana,Big Ten (East),,5,7,2.60,2.14,4.74,69.82,-14.27,10.33,3.10,6.30,1.45,8.62,1.81,2017
49,Oregon,Pac-12 (North),,7,6,3.14,1.52,4.66,75.08,-11.90,11.83,2.85,7.51,1.42,9.51,1.69,2017
50,Fresno State,MWC (West),,10,4,-2.60,7.07,4.47,66.27,-18.47,11.15,2.91,6.96,1.12,9.24,1.72,2017
51,Missouri,SEC (East),,7,6,9.19,-4.91,4.28,79.74,-5.76,13.34,3.71,7.92,1.82,10.74,2.38,2017
52,Toledo,MAC (West),,11,3,4.89,-1.07,3.82,71.48,-9.82,12.37,3.70,7.22,2.84,9.84,2.85,2017
53,Arizona State,Pac-12 (South),,7,6,5.76,-1.96,3.80,71.01,-9.44,11.92,3.71,6.39,2.44,9.12,2.71,2017
54,Army,Ind,,10,3,1.50,2.20,3.69,68.18,-14.02,8.46,3.99,8.32,3.23,8.96,3.41,2017
55,Troy,Sun Belt,,11,2,0.73,2.86,3.59,66.31,-13.99,10.66,3.63,6.99,1.46,9.22,2.13,2017
56,Minnesota,Big Ten (West),,5,7,-3.22,6.59,3.36,63.35,-15.13,10.35,2.85,6.84,2.78,8.36,2.45,2017
57,Texas A&M,SEC (West),,7,6,6.71,-3.35,3.36,73.65,-10.66,11.27,3.36,6.61,1.53,9.10,1.99,2017
58,Arizona,Pac-12 (South),,7,6,12.72,-9.55,3.17,79.97,-3.11,11.83,3.96,8.92,2.91,10.42,2.98,2017
59,Texas Tech,Big 12,,6,7,6.05,-3.04,3.01,75.28,-10.56,11.68,2.94,6.72,2.13,9.61,2.27,2017
60,Ole Miss,SEC (West),,6,6,8.37,-5.60,2.78,74.04,-5.18,13.08,3.62,7.02,2.99,10.52,2.82,2017
61,Houston,American (West),,7,5,-1.72,4.36,2.63,62.66,-16.08,10.35,3.25,6.53,1.26,8.68,2.12,2017
62,Ohio,MAC (East),,9,4,3.93,-1.94,1.99,73.99,-9.45,10.83,3.64,7.72,1.84,9.35,2.54,2017
63,Syracuse,ACC (Atlantic),,4,8,3.46,-1.50,1.96,71.52,-10.16,10.57,3.86,7.00,2.52,9.08,2.81,2017
66,Nebraska,Big Ten (West),,4,8,5.95,-4.43,1.52,69.93,-5.01,11.35,3.80,6.47,3.29,9.33,3.23,2017
67,Kentucky,SEC (East),,7,6,1.35,-0.05,1.30,66.37,-12.76,11.35,3.65,6.97,2.34,9.12,2.62,2017
68,Pitt,ACC (Coastal),,5,7,-1.03,2.24,1.21,65.70,-16.01,10.83,4.03,6.55,1.80,8.76,2.62,2017
69,Maryland,Big Ten (East),,4,8,3.26,-2.23,1.03,69.98,-5.94,10.30,3.04,7.57,2.20,8.98,2.31,2017
70,Northern Illinois,MAC (West),,8,5,-1.20,2.11,0.91,64.57,-14.00,9.61,3.54,6.12,0.95,8.05,1.76,2017
71,Florida,SEC (East),,4,7,-0.94,1.77,0.83,64.79,-13.14,10.73,3.82,7.04,1.70,8.96,2.21,2017
72,SMU,American (West),,7,6,8.95,-8.24,0.71,74.96,-2.71,10.81,5.22,7.26,2.69,9.31,3.46,2017
73,UCLA,Pac-12 (South),,6,7,6.49,-5.85,0.64,72.29,-6.23,12.14,3.05,6.17,3.17,9.79,2.62,2017
74,Appalachian State,Sun Belt,,9,4,-2.37,2.96,0.59,66.38,-14.95,10.84,3.41,7.48,1.95,9.22,2.26,2017
75,Wyoming,MWC (Mountain),,8,5,-6.92,6.96,0.04,58.95,-18.86,9.95,3.39,5.36,1.33,7.72,1.68,2017
76,Virginia,ACC (Coastal),,6,7,-1.39,1.33,-0.06,65.00,-12.58,9.77,2.90,5.84,2.13,8.30,2.13,2017
77,California,Pac-12 (North),,5,7,-0.34,0.18,-0.16,65.84,-14.05,10.37,3.55,5.76,1.71,8.49,2.09,2017
78,Temple,American (East),,7,6,-3.41,2.60,-0.81,60.93,-12.74,10.12,3.56,5.97,1.88,8.26,2.29,2017
79,Colorado State,MWC (Mountain),,7,6,4.38,-5.25,-0.87,69.58,-7.91,11.64,4.26,7.27,3.15,9.72,3.40,2017
80,Marshall,CUSA (East),,8,5,-2.78,1.65,-1.13,61.61,-12.22,10.15,3.79,6.05,1.40,8.41,2.14,2017
81,North Carolina,ACC (Coastal),,3,9,-0.52,-1.30,-1.82,68.99,-9.94,10.41,3.94,6.83,2.18,8.85,2.53,2017
82,Vanderbilt,SEC (East),,5,7,-1.92,-0.20,-2.11,65.56,-8.89,11.26,2.83,6.37,2.65,9.18,2.26,2017
83,Utah State,MWC (Mountain),,6,7,-2.77,0.59,-2.18,66.41,-9.47,9.97,2.79,6.83,2.24,8.65,2.07,2017
84,Tulane,American (West),,5,7,-2.43,0.20,-2.24,62.91,-11.19,10.72,4.87,6.89,2.88,8.43,3.38,2017
85,Rutgers,Big Ten (East),,4,8,-7.17,4.90,-2.27,61.08,-12.74,9.08,3.58,6.99,2.33,8.15,2.48,2017
88,Arkansas State,Sun Belt,,7,5,0.68,-3.10,-2.42,68.63,-7.99,10.60,4.21,5.83,1.72,8.66,2.43,2017
89,Louisiana Tech,CUSA (West),,7,6,0.76,-3.20,-2.44,65.92,-8.68,10.33,3.74,6.75,2.81,8.77,2.79,2017
90,Arkansas,SEC (West),,4,8,4.20,-6.65,-2.45,71.08,-6.07,11.37,4.12,7.32,2.45,9.38,2.77,2017
91,Colorado,Pac-12 (South),,5,7,-2.24,-0.36,-2.61,63.87,-11.89,11.29,3.22,6.08,3.23,8.81,2.73,2017
92,Western Michigan,MAC (West),,6,6,4.08,-6.95,-2.87,71.12,-4.48,10.04,4.13,7.00,2.71,8.55,2.96,2017
93,Buffalo,MAC (East),,6,6,0.28,-3.20,-2.92,63.42,-10.61,11.96,4.59,5.76,2.22,9.06,2.80,2017
94,Tennessee,SEC (East),,4,8,-4.83,1.66,-3.18,61.70,-12.29,10.71,2.59,6.18,2.71,8.47,2.23,2017
95,North Texas,CUSA (West),,9,5,6.44,-10.04,-3.60,71.46,-0.47,11.15,4.83,6.51,2.41,9.14,3.05,2017
96,Eastern Michigan,MAC (West),,5,7,-3.63,-0.47,-4.09,60.44,-12.02,10.26,4.16,5.54,2.02,8.21,2.52,2017
97,Air Force,MWC (Mountain),,5,7,2.55,-7.32,-4.77,70.30,-4.94,12.60,5.17,7.20,3.39,8.66,3.71,2017
98,Akron,MAC (East),,7,7,-6.82,2.00,-4.82,58.56,-10.53,9.87,3.66,5.24,2.85,7.83,2.86,2017
99,Central Michigan,MAC (West),,8,5,-0.61,-4.42,-5.03,64.58,-7.70,10.33,3.12,6.06,2.43,8.56,2.35,2017
100,Southern Mississippi,CUSA (West),,8,5,-3.10,-2.38,-5.49,63.31,-8.23,10.23,3.69,6.81,1.76,8.80,2.26,2017
